name,restaurant_name,identifier,calories,price_usd
NACHOS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,12.00
TACOS - 2 TACOS,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,12.00
SIDE SMOKED MAC & CHEESE - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
PULLED CHICKEN SANDWICH - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
MEAT LOVERS SANDWICH | 2 MEATS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,10.00
MEAT LOVERS SANDWICH | 3 MEATS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,15.00
PULLED PORK SANDWICH - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,6.00
THE KODY - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,12.00
THE TAYLOR - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,15.00
THE HOT MAMA - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,22.00
THE BIG DADDY - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,30.00
BRISKET - 1/2 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,12.00
BRISKET - 1 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,18.00
PULLED PORK - 1/4 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
PULLED PORK - 1/2 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,8.00
PULLED PORK - 1 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,15.00
CHICKEN - 1/4 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
CHICKEN - 1/2 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,8.00
CHICKEN - 1 LB.,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,15.00
POTATO SALAD - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,4.00
MAC SALAD - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,4.00
COLESLAW - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,4.00
SMOKED JALAPENO MAC & CHEESE - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
BAKED BEANS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
FRIES - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,5.00
2 SLIDERS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,8.00
THE 3 LITTLE RIB - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,9.00
CHICKEN TENDERS - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,7.00
MAC & CHEESE BOWL - REGULAR,WALT'S FLAVOR CRISP CHICKEN,"WILMINGTON, DE",,6.00
