name,restaurant_name,identifier,calories,price_usd
WHITMANS HOUSE SALAD - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,8.00
WEDGE SALAD - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,9.00
KALE SALAD - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,10.00
SHISHITO PEPPERS - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
FRIED PICKLES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,7.00
BOWL OF LOCAL PICKLES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,5.00
JUICY LUCY - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,15.00
BLUICY - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,15.00
THE HOUND - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,15.00
"BACON, EGG AND CHEESE - REGULAR",WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
SPICY PATTY - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
TURKEY BURGER - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,13.00
VEGGIE BURGER - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,13.00
UPSTATE BURGER- WHITMANS CLASSIC - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,11.00
THE MANGOLD - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
PATTY MELT - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,15.00
PB&B BURGER - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,13.00
CHICKEN ON GREENS - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
GRILLED CHICKEN CLUB - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
EAST VILLI CHEESE STEAK - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
BLT - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,7.00
GRILLED CHEESE - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,9.00
CHICKEN CHEESESTEAK - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
VEGGIE CHEESESTEAK - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,14.00
FRIES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,5.00
SWEET POTATO FRIES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
BLUE CHEESE FRIES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
ORGANIC POTATO CHIPS - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,5.00
CRACK KALE - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
SAUTEED KALE - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
BRUSSELS SPROUTS - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,8.00
SHISHITO PEPPERS - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,6.00
FRIED PICKLES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,7.00
BOWL OF LOCAL PICKLES - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,5.00
NARRAGANSETT - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,4.00
ORIGINAL SIN HARD CIDER - REGULAR,WASHINGTON STREET ALE HOUSE,"WILMINGTON, DE",,4.00
