name,restaurant_name,identifier,calories,price_usd
TEENY ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,3.49
SPLIT SCOOP OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,5.59
KIDS ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,4.21
(2) SCOOPS OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,6.69
(1) SCOOP OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,5.29
(3) SCOOPS OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,7.39
TEENY SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,4.59
(1) SCOOP SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,7.69
KIDS SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,6.29
(2) SCOOP SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,8.89
SPLIT SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,7.99
(3) SCOOP SUNDAE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,10.59
HALF PINT OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,4.59
QUART OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,12.39
PINT OF ICE CREAM - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,6.89
1/2 PINT SAUCE - 1/2 PINT,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,4.40
PINT SAUCE - PINT,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,6.37
QUART SAUCE - QUART,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,11.18
MILK SHAKE - REGULAR,WENTWORTH HOMEMADE ICE CREAM,"HAMDEN, CT",,5.49
