name,restaurant_name,identifier,calories,price_usd
SALSA - 4OZ,WESTERN SIZZLIN,"HARRISON, AR",,1.05
SALSA - 8OZ,WESTERN SIZZLIN,"HARRISON, AR",,2.29
SALSA - 16OZ,WESTERN SIZZLIN,"HARRISON, AR",,4.35
CHEESE DIP - 4OZ,WESTERN SIZZLIN,"HARRISON, AR",,2.59
CHEESE DIP - 8OZ,WESTERN SIZZLIN,"HARRISON, AR",,4.99
CHEESE DIP - 16OZ,WESTERN SIZZLIN,"HARRISON, AR",,10.29
GUACAMOLE DIP - 4OZ,WESTERN SIZZLIN,"HARRISON, AR",,2.59
GUACAMOLE DIP - 8OZ,WESTERN SIZZLIN,"HARRISON, AR",,4.99
GUACAMOLE DIP - 16OZ,WESTERN SIZZLIN,"HARRISON, AR",,10.29
PICO DE GALLO - 4OZ,WESTERN SIZZLIN,"HARRISON, AR",,1.85
PICO DE GALLO - 8OZ,WESTERN SIZZLIN,"HARRISON, AR",,3.09
PICO DE GALLO - 16OZ,WESTERN SIZZLIN,"HARRISON, AR",,5.15
SHREDDED CHEESE - 4OZ,WESTERN SIZZLIN,"HARRISON, AR",,2.09
SHREDDED CHEESE - 8OZ,WESTERN SIZZLIN,"HARRISON, AR",,3.09
SHREDDED CHEESE - 16OZ,WESTERN SIZZLIN,"HARRISON, AR",,5.15
SMALL CHIPS AND SALSA - CHIPS BAG #4,WESTERN SIZZLIN,"HARRISON, AR",,3.09
MEDIUM CHIPS AND SALSA - CHIPS BAG #8,WESTERN SIZZLIN,"HARRISON, AR",,4.95
LARGE CHIPS AND SALSA - CHIPS BAG #12,WESTERN SIZZLIN,"HARRISON, AR",,6.69
EXTRA LARGE CHIPS & SALSA - CHIPS BAG #16,WESTERN SIZZLIN,"HARRISON, AR",,7.25
SPECIAL NACHOS - *,WESTERN SIZZLIN,"HARRISON, AR",,9.25
MI CASITA NACHOS - *,WESTERN SIZZLIN,"HARRISON, AR",,8.05
NACHOS OLE - *,WESTERN SIZZLIN,"HARRISON, AR",,10.79
