name,restaurant_name,identifier,calories,price_usd
CALABRIAN SAUSAGE PASTA - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.45
CALABRIAN SAUSAGE PASTA - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.45
CHICKEN FONDUTA PASTA - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,9.95
CHICKEN FONDUTA PASTA - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,7.95
SPICY SHRIMP PASTA - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
SPICY SHRIMP PASTA - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
LEMON CHICKEN SALAD - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,9.95
LEMON CHICKEN SALAD - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,7.95
SPICY SHRIMP SALAD - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
SPICY SHRIMP SALAD - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
HONEY BALSAMIC SALAD - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
HONEY BALSAMIC SALAD - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,6.95
RICOTTA CHICKEN SANDWICH - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.45
PANCETTA & STEAK SANDWICH - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,9.45
POLPETTE & SAUSAGE SANDWICH - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
ROASTED VEGETABLES PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
BALSAMIC GRILLED STEAK PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
SPICY CALABRIAN SAUSAGE PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.45
BEEF POLPETTE PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.45
SPICY SHRIMP PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
LEMON GRILLED CHICKEN PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,9.95
NO PROTEIN PASTA (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
ROASTED VEGETABLES PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,6.95
BALSAMIC GRILLED STEAK PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
SPICY CALABRIAN SAUSAGE PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.45
BEEF POLPETTE PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.45
SPICY SHRIMP PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
LEMON GRILLED CHICKEN PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,7.95
NO PROTEIN PASTA (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,6.95
ROASTED VEGETABLES SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
BALSAMIC GRILLED STEAK SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
SPICY CALABRIAN SAUSAGE SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.45
BEEF POLPETTE SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.45
SPICY SHRIMP SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,10.95
LEMON GRILLED CHICKEN SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,9.95
NO PROTEIN SALAD (REGULAR) - REGULAR,WESTOVER PIZZA,"STAMFORD, CT",,8.95
ROASTED VEGETABLES SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,6.95
BALSAMIC GRILLED STEAK SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
SPICY CALABRIAN SAUSAGE SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.45
BEEF POLPETTE SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.45
SPICY SHRIMP SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,8.95
LEMON GRILLED CHICKEN SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,7.95
NO PROTEIN SALAD (SMALLER) - SMALLER,WESTOVER PIZZA,"STAMFORD, CT",,6.95
