name,restaurant_name,identifier,calories,price_usd
GYOZA - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,5.00
CRISPY FRIED TOFU - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,5.00
VEGGIE SPRING ROLL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,5.00
STEAMED VEGGIES - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,5.00
EDAMAME - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,5.00
SPICY EDAMAME - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,7.00
FRIED FISH BALL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,7.00
TURMERIC FRIED CHICKEN - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,7.00
THAI PAPAYA SALAD - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,10.00
LAOS SOM TUM PAPAYA SALAD - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,11.00
SALTY EGG PAPAYA SALAD - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
TUM TARD | COMBO PAPAYA SALAD TRAY - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,18.00
KOON NINE SALAD - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,8.00
VEGGIE DELIGHT DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,10.00
PAD THAI ORIGINAL DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,13.00
PAD THAI DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
KAOW KAI JEIW DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,10.00
SRIRACHA FRIED RICE DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
PINEAPPLE FRIED RICE DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,11.00
BASIL FRIED RICE DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
TRAIN FRIED RICE DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
PAD WON SEN WITH JUMBO SHRIMP DISH - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,18.00
TUNA POKE - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,15.00
SALMON POKE - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
TUNA & SALMON POKE - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,15.00
BEEF BOAT SOUP BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,13.00
BEEF BROTH SOUP | GAO-LAO NUA - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,13.00
PORK TOM YUM NOODLES BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
ZAB PORK SOUP - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,13.00
YELLOW CHICKEN LEG CURRY BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
RED CURRY BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
PANANG CURRY BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
YELLOW CURRY BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
PINEAPPLE CURRY BOWL - REGULAR,WOK TERIYAKI IX,"CHOWNOW, TACOMA, WA",,12.00
