name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,0.00
WALKING- PICK UP ORDER - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,0.00
HOUSE SALAD - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,8.95
CAESAR SALAD - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,12.95
MEDITERRANEAN SALAD - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,13.95
TMB PLATE - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,10.95
ANTIPASTO PLATE - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,12.95
BRUSCHETTA - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,9.95
BUFFALO CHICKEN DIP - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,12.95
GARLIC KNOTS (6) - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,6.95
CINNAMON KNOTS (6) - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,6.95
BRICK OVEN FRIES - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,7.95
WEDGE SALAD - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,11.95
HUMMUS PLATE - REGULAR,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,11.95
WOODY'S ITALIAN SUB - SMALL,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,7.95
WOODY'S ITALIAN SUB - LARGE,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,10.95
CHICKEN KABOB SUB - SMALL,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,8.95
CHICKEN KABOB SUB - LARGE,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,11.95
BLT SUB - SMALL,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,7.95
BLT SUB - LARGE,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,10.95
MEATBALL PARMESAN SUB - SMALL,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,8.95
MEATBALL PARMESAN SUB - LARGE,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,11.95
EGGPLANT PARMESAN SUB - SMALL,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,7.95
EGGPLANT PARMESAN SUB - LARGE,WOODY'S BRICK OVEN PIZZA,"CHOWNOW, YORK, ME",,10.95
