name,restaurant_name,identifier,calories,price_usd
CHERRY RIPE SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
CHOCOLATE KETO SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
BLUEBERRY CRUMBLE SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
KEY LIME SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
PEANUT BUTTER OAT MILK LATTE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
EPIC PB SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
PISTACHIO DREAMING - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
GREEN GODDESS SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
COLD BREW MOCHA - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,8.95
VANILLA KETO - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
CHOCOLATE KETO - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
THUNDER COFFEE (NO DATES) - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
BLUEBERRY ALMOND ACAI BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
CHOCOBLISS BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
DRAGON BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
PB + J BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
SUPERFOOD ACAI BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
STRAWBERRY ACAI BOWL - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,10.95
ALMOND BUTTER DREAM SMOOTHIE - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
ALMOND BUTTER CUP - REGULAR,YELLOWTAIL MODERN ASIAN CUISINE,"DELRAY BEACH, FL",,7.95
