name,restaurant_name,identifier,calories,price_usd
BREAKFAST SPECIALS 1 - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.10
BREAKFAST SPECIALS 2 - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.80
BREAKFAST SPECIALS 3 - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.15
EGGS BENEDICT - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.25
"EGGS, POTATOES & TOAST - REGULAR",ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.09
BENNY FLORENTINE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.25
SOUTHERN BENEDICT - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.79
FRESH CORNED BEEF HASH - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.79
BISCUITS & GRAVY - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.09
SKILLETS - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
ZORBAS OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.95
WESTERN OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
CHICKEN WESTERN OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.95
HAM & CHEESE OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
SOUTHERN OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,13.49
COUNTRY OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
FARMERS OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
CORNED BEEF OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
GREEK OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
SPINACH & FETA OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
VEGETABLE OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.79
FIESTA OMELETTE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
HAWAIIAN SCRAMBLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
SANTORINI SCRAMBLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,11.60
TUCSON SCRAMBLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.15
CALABRESE SCRAMBLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.15
POTATO PANCAKES - HALF ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.09
POTATO PANCAKES - FULL ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,9.44
PANCAKES - HALF ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,6.74
PANCAKES - FULL ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,7.55
PEANUT BUTTER & BANANA PANCAKES - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
CINNAMON ROLL PANCAKES - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
PUMPKIN SPICED PANCAKES - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,10.79
FRENCH TOAST - HALF ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,6.74
FRENCH TOAST - FULL ORDER,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,7.55
CINNAMON RAISIN FRENCH TOAST - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,9.44
WAFFLES - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.09
CHUNKY MONKEY WAFFLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,12.14
SOUTHERN WAFFLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,14.84
TOOTY FRUITY WAFFLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,14.84
DOUBLE CHOCOLATE WAFFLE - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,13.49
TAULA'S SPECIAL - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.99
GREEK SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,13.49
JULIENNE SALAD - BABY,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,8.09
JULIENNE SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,14.84
VOULA SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,9.44
GRILLED CHICKEN SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,13.49
CAESAR SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,13.49
COBB SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,14.84
APPLE WALNUT SALAD - REGULAR,ZORBAS FAMILY DINING,"CHOWNOW, CLINTON TOWNSHIP, MI",,14.84
