name,restaurant_name,identifier,calories,price_usd
APPETIZER STUFFED DATES,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,10.00
BUTTERNUT SQUASH RAVIOLI,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,13.00
CHICKEN POT PIE,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,14.00
LOCAL FLAT IRON STEAK,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,19.00
PEACH RICOTTA SALAD,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,10.00
SALMON SIENA,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,17.00
SHRIMP & GRITS,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,15.00
APPETIZER FRESH SALMON CAKES,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,10.00
CATFISH PLATTER,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,13.00
ROAST BEEF ON THE PHO,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
NACHOS,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,12.95
CHICKEN WINGS,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
HUMMUS & BLACK BEAN DIP,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,10.00
PIMENTO CHEESE WITH TOAST,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,8.50
PORK QUESADILLA,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
VEGGIE QUESADILLA,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,10.95
FAMILY NACHOS!,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,12.95
AVOCADO GODDESS,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
BEER RUN PHILLY,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
BERNINI PANINI,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
CUBANO,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
FRIED CHICKEN SANDWICH,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,12.95
HOGWALLER,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
KIMCHI PORK WRAP,BEER RUN 156 CARLTON RD,"CHARLOTTESVILLE, VA",,11.95
