name,restaurant_name,identifier,calories,price_usd
MASA & GUAC,COLITA,"MINNEAPOLIS, MN",,9.00
TUNA TOSTADA *,COLITA,"MINNEAPOLIS, MN",,18.00
KING MACKEREL AGUACHILE *,COLITA,"MINNEAPOLIS, MN",,16.00
CHARRED EGGPLANT TOSTADA,COLITA,"MINNEAPOLIS, MN",,16.00
BEEF TARTARE *,COLITA,"MINNEAPOLIS, MN",,15.00
TOMATO & MELON SALAD,COLITA,"MINNEAPOLIS, MN",,12.00
4 TORTILLAS,COLITA,"MINNEAPOLIS, MN",,2.00
FRIED GREEN TOMATO SALAD.,COLITA,"MINNEAPOLIS, MN",,14.00
CACIO E PEPE STACKED TOSTADAS,COLITA,"MINNEAPOLIS, MN",,13.00
TEMPURA FRIED SHRIMP TACO,COLITA,"MINNEAPOLIS, MN",,15.00
SEARED SCALLOPS,COLITA,"MINNEAPOLIS, MN",,21.00
QUESADILLA,COLITA,"MINNEAPOLIS, MN",,13.00
CORN ELOTE,COLITA,"MINNEAPOLIS, MN",,11.00
ROASTED POTATOES,COLITA,"MINNEAPOLIS, MN",,9.00
ZUCCHINI ENMOLADAS,COLITA,"MINNEAPOLIS, MN",,14.00
BEEF TONGUE SOPE,COLITA,"MINNEAPOLIS, MN",,11.00
TLAYUDA,COLITA,"MINNEAPOLIS, MN",,13.00
KANSAS CITY PORK RIBS,COLITA,"MINNEAPOLIS, MN",,19.00
CHICKEN TINGA TOSTADA,COLITA,"MINNEAPOLIS, MN",,15.00
LAMB BARBACOA TACO,COLITA,"MINNEAPOLIS, MN",,16.00
COCHINITA PIBIL TACO,COLITA,"MINNEAPOLIS, MN",,15.00
CHURROS,COLITA,"MINNEAPOLIS, MN",,10.00
BOTTLE MEXICAN COKE,COLITA,"MINNEAPOLIS, MN",,4.00
BOTTLE DIET COKE,COLITA,"MINNEAPOLIS, MN",,4.00
BOTTLE SPRITE,COLITA,"MINNEAPOLIS, MN",,4.00
JARRITOS,COLITA,"MINNEAPOLIS, MN",,4.00
SAN PELLEGRINO 750ML,COLITA,"MINNEAPOLIS, MN",,6.50
