name,restaurant_name,identifier,calories,price_usd
SUMMER PARTY POUCHES,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,50.00
12OZ 1/2 & 1/2,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
16OZ 1/2 & 1/2,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,10.00
24OZ 1/2 & 1/2,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,12.00
AVIATION GIN,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
BACARDI RUM,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
CASAMIGOS TEQUILA,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
EZRA BROOKS BOURBON,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
TITO'S VODKA,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
64OZ BANANA DAVE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ BOURBON SLUSH,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ CHOCOLATE MUDSLIDE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ CUCUMBER MOJITO,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ GUAVA MARGARITA,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ HIBISCUS GIN & TONIC,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ KEY LIME PIE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ MEZCAL CHIPOTLE SOUR,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ ORANGE DREAMSICLE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ PASSION FRUIT PUNCH,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ STRAWBERRY BASIL LEMONADE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ STRAWBERRY PEACH BELLINI,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ THAI COLLINS,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
64OZ WATERMELON FROSE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,35.00
ECO-FRIENDLY DISPOSABLE COOLER,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,10.00
BLACK N' STORMY,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
HIBISCUS MARGARITA,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
NEGRONI SOUR,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
PEACH SMASH,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
PEAR HAYMAKER,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
PIMM'S CUP,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,8.00
2ND SHIFT LITTLE BIG HOP (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
4 HANDS CHOCOLATE MILK STOUT (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
4 HANDS CITY WIDE (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
BELL'S TWO HEARTED ALE (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
BLUE MOON (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
BRICK RIVER HOMESTEAD PEACH (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
BROOKLYN BEL AIR SOUR (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
BUD LIGHT (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
BUD SELECT (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
BUDWEISER (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
BUSCH (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
CIVIL LIFE ANGEL & THE SWORD (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
CORONA EXTRA (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
DOGFISH HEAD SEA QUENCH ALE (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
EARTHBOUND OZARK MILKSHAKE IPA (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
ELYSIAN SPACE DUST IPA (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
GOOSE ISLAND 312 (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
GUINNESS (14.9OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
HEAVY RIFF SQUEEZEBOX (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
KONA BIG WAVE (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
MOTHER'S TROP TOP (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
PRAIRIE RAINBOW SHERBET SOUR (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
STELLA ARTOIS (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
STILLWATER INSETTO (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
T.W. PITCHERS BLOOD ORANGE RADLER (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
T.W. PITCHERS NORDIC JAM (12OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
TOPPLING GOLIATH PSEUDO SUE (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
UCBC BIG SHARK TANGERINE RADLER (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,5.00
UCBC UNDERDOG (16OZ),NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,4.00
GOSLINGS GINGER BEER,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,2.50
RED BULL,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.50
SODA GUN,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,2.00
TOPO CHICO,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,2.50
PEACHES N' CREAM,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
STRAWBERRY LEMONADE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
STRAWBERRY PINEAPPLE BANANA,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,6.00
MIXED BERRY YOGURT PUP CUP,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
PEANUT BUTTER BANANA PUP CUP,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
WATERMELON YOGURT PUP CUP,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,3.00
FLAG TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
FLIGHT TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
STL STATUE TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
SUNSET TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
VICE TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
VINTAGE TEE,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
DAD HAT,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
SMALL WAVE HAT,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
STL HAT,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,20.00
12OZ LOGO SILIPINT,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,10.00
16OZ LOGO SILIPINT,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,10.00
13OZ CAMPFIRE MUG,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,10.00
TUESDAY,NARWHAL'S CRAFTED MIDTOWN,"ST. LOUIS, MO",,0.00
