name,restaurant_name,identifier,calories,price_usd
BAGEL,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,2.25
EGG & CHEESE,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,4.50
"HAM, EGG & CHEESE",PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,5.50
"BACON, EGG & CHEESE",PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,5.50
"SAUSAGE, EGG & CHEESE",PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,5.50
GRILLED CROISSANT,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,3.25
NO EGG,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,0.00
"BACON, SAUSAGE ,EGG ,& CHEESE",PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,7.50
"HAM, SAUSAGE, EGG& CHEESE",PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,7.50
HAM & BACON EGG & CHEESE,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,7.50
NO CHEESE,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,0.00
BREAKFAST-LT,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,6.95
COTE CRISTO,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,8.95
COWBOY BUCK,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,9.95
GRECIAN,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,8.95
HUNGRY MAN,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,10.95
IRISH,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,9.95
LARRY PETERS,PAMMY'S PLACE 68 AIRPORT RD UNIT 1,"FITCHBURG, MA",,8.95
