name,restaurant_name,identifier,calories,price_usd
ADD SILVERWARE,SAKANAYA,"CHAMPAIGN, IL",,0.00
ADD CHOPSTICK,SAKANAYA,"CHAMPAIGN, IL",,0.00
SEA URCHIN / UNI,SAKANAYA,"CHAMPAIGN, IL",,9.00
SWEET RAW SHRIMP,SAKANAYA,"CHAMPAIGN, IL",,6.00
AGEDASHI TOFU,SAKANAYA,"CHAMPAIGN, IL",,6.00
EDAMAME,SAKANAYA,"CHAMPAIGN, IL",,4.00
GYOZA,SAKANAYA,"CHAMPAIGN, IL",,6.00
MISO SOUP,SAKANAYA,"CHAMPAIGN, IL",,2.00
SHRIMP TEMPURA APPETIZER,SAKANAYA,"CHAMPAIGN, IL",,8.00
SHUMAI,SAKANAYA,"CHAMPAIGN, IL",,6.00
SQUID KARAAGE,SAKANAYA,"CHAMPAIGN, IL",,5.00
TOFU-TERIYAKI,SAKANAYA,"CHAMPAIGN, IL",,6.00
TAKOYAKI,SAKANAYA,"CHAMPAIGN, IL",,7.00
STUFFED JALAPENOS,SAKANAYA,"CHAMPAIGN, IL",,8.00
ABURI/SEARED NIGIRI,SAKANAYA,"CHAMPAIGN, IL",,15.00
BIG APPLE,SAKANAYA,"CHAMPAIGN, IL",,10.00
HOUSE SALAD,SAKANAYA,"CHAMPAIGN, IL",,5.00
SASHIMI 8PC,SAKANAYA,"CHAMPAIGN, IL",,14.00
SEARED SALMON,SAKANAYA,"CHAMPAIGN, IL",,7.00
SUSHI SAMPLER,SAKANAYA,"CHAMPAIGN, IL",,14.00
TAKOSU,SAKANAYA,"CHAMPAIGN, IL",,8.00
WILLIS TOWER,SAKANAYA,"CHAMPAIGN, IL",,13.00
ALBACORE TUNA,SAKANAYA,"CHAMPAIGN, IL",,3.00
TUNA,SAKANAYA,"CHAMPAIGN, IL",,3.00
O TORO,SAKANAYA,"CHAMPAIGN, IL",,6.00
WHITE TUNA,SAKANAYA,"CHAMPAIGN, IL",,3.00
SALMON,SAKANAYA,"CHAMPAIGN, IL",,3.00
FATTY SALMON,SAKANAYA,"CHAMPAIGN, IL",,4.00
SMOKED SALMON,SAKANAYA,"CHAMPAIGN, IL",,4.00
SALMON ROE,SAKANAYA,"CHAMPAIGN, IL",,4.00
EGG,SAKANAYA,"CHAMPAIGN, IL",,2.50
FLY FISH ROE,SAKANAYA,"CHAMPAIGN, IL",,3.00
EEL,SAKANAYA,"CHAMPAIGN, IL",,4.50
YELLOW TAIL,SAKANAYA,"CHAMPAIGN, IL",,4.00
OCTOPUS,SAKANAYA,"CHAMPAIGN, IL",,3.50
SCALLOP,SAKANAYA,"CHAMPAIGN, IL",,4.00
SHRIMP,SAKANAYA,"CHAMPAIGN, IL",,2.50
SQUID,SAKANAYA,"CHAMPAIGN, IL",,3.00
CRAB STICK,SAKANAYA,"CHAMPAIGN, IL",,2.50
NEGI O'TORO,SAKANAYA,"CHAMPAIGN, IL",,9.00
ALASKAN,SAKANAYA,"CHAMPAIGN, IL",,7.00
CALIFORNIA,SAKANAYA,"CHAMPAIGN, IL",,7.00
CALI CRUNCH',SAKANAYA,"CHAMPAIGN, IL",,7.50
PHILADELPHIA,SAKANAYA,"CHAMPAIGN, IL",,8.00
SHRIMP TEMPURA ROLL',SAKANAYA,"CHAMPAIGN, IL",,8.00
SALMON ROLL,SAKANAYA,"CHAMPAIGN, IL",,5.50
SPICY SALMON INCH ,SAKANAYA,"CHAMPAIGN, IL",,8.00
TUNA ROLL,SAKANAYA,"CHAMPAIGN, IL",,5.50
SPICY TUNA,SAKANAYA,"CHAMPAIGN, IL",,8.00
UNA-Q',SAKANAYA,"CHAMPAIGN, IL",,8.00
VEGE VEGE,SAKANAYA,"CHAMPAIGN, IL",,6.00
VEGETARIAN,SAKANAYA,"CHAMPAIGN, IL",,5.00
NEGI HAMACHI,SAKANAYA,"CHAMPAIGN, IL",,6.00
WHITE EMPEROR',SAKANAYA,"CHAMPAIGN, IL",,13.00
CRUNCH MUNCH' INCH ,SAKANAYA,"CHAMPAIGN, IL",,13.00
WINDY CITY,SAKANAYA,"CHAMPAIGN, IL",,16.00
BROOKLYN,SAKANAYA,"CHAMPAIGN, IL",,14.00
SUNSET' INCH ,SAKANAYA,"CHAMPAIGN, IL",,13.00
FUJI MOUNTAIN,SAKANAYA,"CHAMPAIGN, IL",,15.00
KAMIKAZE' INCH ,SAKANAYA,"CHAMPAIGN, IL",,13.00
PLAYBOY,SAKANAYA,"CHAMPAIGN, IL",,15.00
GREEN ST.,SAKANAYA,"CHAMPAIGN, IL",,10.00
SAKANAYA',SAKANAYA,"CHAMPAIGN, IL",,16.00
GOLD RUSH 1848',SAKANAYA,"CHAMPAIGN, IL",,18.00
NAYA,SAKANAYA,"CHAMPAIGN, IL",,16.00
DRAGON',SAKANAYA,"CHAMPAIGN, IL",,16.00
OMG' INCH ,SAKANAYA,"CHAMPAIGN, IL",,15.00
PLAYGIRL' INCH ,SAKANAYA,"CHAMPAIGN, IL",,15.00
SPIDER INCH ,SAKANAYA,"CHAMPAIGN, IL",,12.00
VIP',SAKANAYA,"CHAMPAIGN, IL",,18.00
YAYA ROLL',SAKANAYA,"CHAMPAIGN, IL",,11.00
VOLCANO,SAKANAYA,"CHAMPAIGN, IL",,18.00
CHAMPAIGN-URBANA' INCH ,SAKANAYA,"CHAMPAIGN, IL",,13.00
I LOVE SALMON,SAKANAYA,"CHAMPAIGN, IL",,25.00
I LOVE SUSHI,SAKANAYA,"CHAMPAIGN, IL",,26.00
I LOVE SASHIMI,SAKANAYA,"CHAMPAIGN, IL",,32.00
SUSHI & SASHIMI COMBO,SAKANAYA,"CHAMPAIGN, IL",,36.00
SAKANAYA SUPREME,SAKANAYA,"CHAMPAIGN, IL",,58.00
CHIRASHI,SAKANAYA,"CHAMPAIGN, IL",,24.00
HWE DUP BOP,SAKANAYA,"CHAMPAIGN, IL",,18.00
SAKE DON,SAKANAYA,"CHAMPAIGN, IL",,18.00
SALMON POKE BOWL,SAKANAYA,"CHAMPAIGN, IL",,15.00
TUNA POKE BOWL,SAKANAYA,"CHAMPAIGN, IL",,15.00
UNA DON,SAKANAYA,"CHAMPAIGN, IL",,20.00
CHICKEN KATSU,SAKANAYA,"CHAMPAIGN, IL",,15.00
CHICKEN TERIYAKI,SAKANAYA,"CHAMPAIGN, IL",,15.00
DON KATSU,SAKANAYA,"CHAMPAIGN, IL",,15.00
GYUDON,SAKANAYA,"CHAMPAIGN, IL",,15.00
SALMON KATSU,SAKANAYA,"CHAMPAIGN, IL",,18.00
SALMON TERIYAKI,SAKANAYA,"CHAMPAIGN, IL",,18.00
CURRY KATSU DON,SAKANAYA,"CHAMPAIGN, IL",,14.00
SEAFOOD GARLIC TERIYAKI,SAKANAYA,"CHAMPAIGN, IL",,15.00
SPICY SHRIMP TEMPURA UDON,SAKANAYA,"CHAMPAIGN, IL",,13.00
CHICKEN YAKI UDON,SAKANAYA,"CHAMPAIGN, IL",,13.00
BEEF YAKI UDON,SAKANAYA,"CHAMPAIGN, IL",,13.00
CURRY KATSU UDON,SAKANAYA,"CHAMPAIGN, IL",,14.00
FRESH WASABI,SAKANAYA,"CHAMPAIGN, IL",,2.00
EEL/TERIYAKI SAUCE',SAKANAYA,"CHAMPAIGN, IL",,0.75
SPICY MAYO INCH ,SAKANAYA,"CHAMPAIGN, IL",,0.75
WASABI MAYO,SAKANAYA,"CHAMPAIGN, IL",,0.75
SUSHI RICE,SAKANAYA,"CHAMPAIGN, IL",,2.00
GLUTEN FREE SOY SAUCE,SAKANAYA,"CHAMPAIGN, IL",,0.00
PEPSI,SAKANAYA,"CHAMPAIGN, IL",,2.00
DIET PEPSI,SAKANAYA,"CHAMPAIGN, IL",,2.00
SIERRA MIST,SAKANAYA,"CHAMPAIGN, IL",,2.00
GINGER ALE,SAKANAYA,"CHAMPAIGN, IL",,2.00
OI OCHA GREEN TEA,SAKANAYA,"CHAMPAIGN, IL",,3.00
SPARKLING LIME WATER,SAKANAYA,"CHAMPAIGN, IL",,3.00
