name,restaurant_name,identifier,calories,price_usd
1/2 LB. PEEL & EAT SHRIMP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,17.00
BREAD AND BUTTER,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,3.00
GARLIC BREAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,4.00
BBQ WINGS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,13.00
BUFFALO WINGS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,13.00
TOM WINGS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,13.00
CHICKEN STRIPS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,10.50
ESCARGOT BOMBAY,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,15.50
FRIED CALAMARI,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,14.00
STUFFED CRAB,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,12.00
ROASTED GARLIC W/ BRIE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,16.50
LARGE SIDE OF FRIES,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,6.00
SMALL SIDE OF FRIES,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,4.00
CAESAR SALAD - LARGE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,14.00
MIXED GREEN SALAD - LARGE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,14.00
GREEK SALAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,17.00
SPINACH SALAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,17.00
SIDE - MIXED GREENS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,5.00
SIDE - CAESAR,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,5.00
SMALL GREEK SALAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,6.50
SOUP SPECIAL - BOWL,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,7.50
SOUP SPECIAL - CUP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,6.50
FRENCH ONION,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,7.50
APPETIZER: STEAMED SPECIAL,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,19.00
FETT SPL,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,38.00
RIBEYE SPECIAL,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,45.00
SALMON SPL,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,34.00
12 OZ NY STRIP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,40.00
BBQ SPARE RIBS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,24.00
BOMBAY FILET,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,35.00
CHICKEN PARMESAN,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,27.00
CHICKEN FRIED CHICKEN,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,27.00
CHICKEN FRIED STEAK,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,29.00
CHICKEN MARSALA,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,25.00
KING ST. SEAFOOD PASTA,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,34.00
LINGUINI & SCALLOPS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,33.00
PASTA ALFREDO,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,19.50
PASTA ALFREDO W/ CHICKEN,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,25.50
PASTA ALFREDO W/ SHRIMP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,33.00
PASTA ALFREDO W/ LOBSTER,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,34.00
PASTA ALFRED W/ CHICKEN & SHRIMP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,33.00
PASTA ALFRED W/ SHRIMP & LOBSTER,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,38.00
SHRIMP & CHIPS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,27.00
SHRIMP SCAMPI,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,30.00
BEEF BRISKET,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,19.00
BOMBAY BURGER,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,14.75
GRILLED CHICKEN SANDWICH,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,14.00
CRISPY CHICKEN SANDWICH,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,16.50
GRILLED FISH SANDWICH,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,17.00
PRIME RIB BAGUETTE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,20.00
STUFFED CRAB,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,17.00
FISH & CHIPS,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,18.00
VEGGIE WRAP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,15.00
SMALL SIDE OF FRIES,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,4.00
LARGE SIDE OF FRIES,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,6.00
MASH,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,4.00
SALAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,5.00
RICE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,4.00
CAESAR SALAD,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,5.00
CHOCOLATE LAYER CAKE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
RUM CAKE-BANANA CHOC CHIP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
CHOCOLATE RUM CAKE GANACHE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
PINA COLADA RUM CAKE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
FLAVOR CHEESECAKE,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
RUM CAKE-BLACK STRAP,THE BOMBAY CLUB ST. CROIX,"CHRISTIANSTED, VI",,9.00
