name,restaurant_name,identifier,calories,price_usd
GARLIC BREAD,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,3.00
MOZARELLA STICKS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.00
CHEESE BREAD STICKS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.00
BRUSCHETTA BREAD,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
CHICKEN TENDERS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.00
CRINKLE FRIES,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,3.00
BUFFALO FRIES,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
3 LARGE MEATBALLS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
SAUSAGE LINKS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
CHIPS,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,1.50
BUILD YOUR OMELETTE,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,8.00
BREAKFAST SANDWICH,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.00
EGG ANY STYLE,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,6.99
BREAKFAST BURRITO,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.00
PANCAKES,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,4.00
SOUP OF THE DAY,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
CAMARILLO STREET BURGER,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,7.95
LUNCH PORTION PASTA,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,5.00
GREEK SALAD,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,9.00
CAPRESE SALAD,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,9.00
COB SALAD,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,8.00
FETTUCINE BOLONESE,TONYÂ€™S PIZZA BROS 31 N LEWIS RD,"CAMARILLO, CA",,12.00
