name,restaurant_name,identifier,calories,price_usd
ARUGULA SALAD,UNION RESTAURANT PASADENA,"PASADENA, CA",,15.00
PORK MEATBALLS,UNION RESTAURANT PASADENA,"PASADENA, CA",,19.00
LOCAL WILD MUSHROOMS,UNION RESTAURANT PASADENA,"PASADENA, CA",,23.00
BREAD & GIARDINIERE,UNION RESTAURANT PASADENA,"PASADENA, CA",,12.00
CHARRED OCTOPUS,UNION RESTAURANT PASADENA,"PASADENA, CA",,27.00
PANZANELLA,UNION RESTAURANT PASADENA,"PASADENA, CA",,22.00
EXTRA BREAD,UNION RESTAURANT PASADENA,"PASADENA, CA",,4.00
SIDE GARLIC BREAD,UNION RESTAURANT PASADENA,"PASADENA, CA",,4.00
SPAGHETTI,UNION RESTAURANT PASADENA,"PASADENA, CA",,21.00
TONNARELLI CACIO E PEPE,UNION RESTAURANT PASADENA,"PASADENA, CA",,22.00
SQUID INK LUMACHE,UNION RESTAURANT PASADENA,"PASADENA, CA",,30.00
TORCHETTI,UNION RESTAURANT PASADENA,"PASADENA, CA",,27.00
SPAGHETTI & MEATBALLS,UNION RESTAURANT PASADENA,"PASADENA, CA",,32.00
KIDS PASTA,UNION RESTAURANT PASADENA,"PASADENA, CA",,12.00
LAMB BELLY CARBONARA,UNION RESTAURANT PASADENA,"PASADENA, CA",,27.00
BUCATINI,UNION RESTAURANT PASADENA,"PASADENA, CA",,25.00
CAMPANELLE,UNION RESTAURANT PASADENA,"PASADENA, CA",,26.00
FISH OF THE DAY,UNION RESTAURANT PASADENA,"PASADENA, CA",,40.00
PORK TENDERLOIN,UNION RESTAURANT PASADENA,"PASADENA, CA",,40.00
RABBIT,UNION RESTAURANT PASADENA,"PASADENA, CA",,39.00
COPPA STEAK,UNION RESTAURANT PASADENA,"PASADENA, CA",,38.00
SPAGHETTI & MEATBALL FAMILY MEAL,UNION RESTAURANT PASADENA,"PASADENA, CA",,64.00
TORCHETTI FAMILY,UNION RESTAURANT PASADENA,"PASADENA, CA",,58.00
CHITARRA FAMILY,UNION RESTAURANT PASADENA,"PASADENA, CA",,54.00
LAMB BELLY CARBONARA FAMILY,UNION RESTAURANT PASADENA,"PASADENA, CA",,58.00
BREAD PUDDING,UNION RESTAURANT PASADENA,"PASADENA, CA",,11.00
ALMOND JOY PANA COTTA,UNION RESTAURANT PASADENA,"PASADENA, CA",,11.00
TIRAMISU,UNION RESTAURANT PASADENA,"PASADENA, CA",,11.00
BLOOD ORANGE TART,UNION RESTAURANT PASADENA,"PASADENA, CA",,11.00
 ARANCIATA,UNION RESTAURANT PASADENA,"PASADENA, CA",,4.00
 LIMONATA,UNION RESTAURANT PASADENA,"PASADENA, CA",,4.00
SPARKLING WATER - LAURETANA,UNION RESTAURANT PASADENA,"PASADENA, CA",,7.00
STILL WATER - LAURETANA,UNION RESTAURANT PASADENA,"PASADENA, CA",,7.00
