name,restaurant_name,identifier,calories,price_usd
FRIED PICKLES - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
ONION RINGS - SIDE,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,2.99
ONION RINGS - BASKET,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,5.99
FRIED MOZZARELLA STICKS - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
JALAPENO POPPERS - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,5.99
CHEESY BREADSTICKS - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,5.99
WAFFLE FRIES - SIDE,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,2.69
WAFFLE FRIES - BASKET,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,4.99
BACON CHEESE WAFFLE FRIES - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,4.99
HOUSE SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
GREEK SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
ANTIPASTO SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
AMERICAN SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
TUNA SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
CHICKEN SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
GRILLED CHICKEN SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
FRIED CHICKEN SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
BUFFALO CHICKEN SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
SIDE SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,3.49
SIDE GREEK SALAD - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,3.49
BONELESS CHICKEN BITES - SMALL (1 LB),10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,8.99
BONELESS CHICKEN BITES - LARGE (2 LB),10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,17.98
CHICKEN WINGS - 6 PIECES - 6 PIECES,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.49
CHICKEN WINGS - 12 PIECES - 12 PIECES,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,11.99
CHICKEN WINGS - 24 PIECES - 24 PIECES,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,22.99
MEATBALL SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.49
PHILLY CHEESESTEAK SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
PHILLY CHEESESTEAK SUPREME SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.49
CHICKEN SUPREME SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.49
CHICKEN & CHEESE SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
CHICKEN PARMESAN SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.49
ITALIAN SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
AMERICAN SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
HAM & CHEESE SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
TURKEY & CHEESE SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
VEGGIE SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
TUNA SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
CHICKEN SALAD SUB - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
BUILD YOUR OWN STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
CHICKEN BACON RANCH STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
MEAT STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
SUPREME STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
PHILLY CHEESESTEAK SUPREME STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
CHICKEN & CHEESE STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
BUFFALO CHICKEN STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
HAWAIIAN STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
BBQ CHICKEN STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
ITALIAN STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
BACON CHEESEBURGER STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
MEATBALL STROMBOLI - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
CHEESE PIZZA WITH ONE TOPPING | PERSONAL 7 INCH  - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,4.99
CHEESE PIZZA WITH ONE TOPPING | SMALL 10 INCH  - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,5.99
CHEESE PIZZA WITH ONE TOPPING | MEDIUM 12 INCH  - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,7.99
CHEESE PIZZA WITH ONE TOPPING | LARGE 14 INCH  - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,10.99
BLT PIZZA - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
HAWAIIAN PUNCH PIZZA - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
MEAT PIZZA - REGULAR,10Q CHICKEN,"CHOWNOW, EVANSTON, IL",,6.99
