name,restaurant_name,identifier,calories,price_usd
MINI CHIMIS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
FLAUTAS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
CHEESE DIP - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,5.99
CHEESE DIP - LARGE,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
SPINACH DIP - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,8.99
GUACAMOLE DIP - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,5.99
CHORIZO DIP - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
PELANCHO'S DIP - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
FAJITA TACO SALAD - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
TACO SALAD - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,8.99
PELANCHO'S SALAD - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,10.99
HOUSE SALAD - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,4.99
CHORIZO FUNDIDOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
CHICKEN FAJITAS FUNDIDOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,9.99
STEAK FAJITA FUNDIDOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,10.99
VEGETABLE FUNDIDOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,8.99
SHRIMP FUNDIDOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,11.99
SUPER NACHOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,14.99
NACHOS SUPREMO - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,12.99
PELANCHO'S NACHOS - REGULAR,2520 TAVERN,"CHOWNOW, CLEMMONS, NC",,11.99
