name,restaurant_name,identifier,calories,price_usd
"EGGS, ANY STYLE - 1 EGG",3 BROTHERS DINER,"DANBURY, CT",,3.99
"EGGS, ANY STYLE - 2 EGGS",3 BROTHERS DINER,"DANBURY, CT",,4.99
"BACON, EGG & CHEESE ON A HARD ROLL - REGULAR",3 BROTHERS DINER,"DANBURY, CT",,4.59
WESTERN SANDWICH WITH CHEESE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,5.99
THE BIG BOSS BREAKFAST SANDWICH - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,7.99
EGGS BENEDICT - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,9.99
BENEDICT HEAVEN - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,10.99
BBQ PULLED PORK BENEDICT - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,11.99
CORNED BEEF HASH & 2 EGGS - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,9.99
THE LUMBERJACK - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,11.99
VEGGIE SKILLET - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
MEAT LOVER'S SKILLET - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,10.99
DANBURY SKILLET - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,10.99
BREAKFAST BURRITO - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
BREAKFAST QUESADILLA - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
WESTERN OMELETTE WITH CHEESE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
THE CALIFORNIAN OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,10.99
LOX OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,12.99
MEXICAN OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
THREE BROTHERS OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
THE ARIZZIO OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,7.99
GREEK OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.99
CHICKEN FAJITA OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,9.99
BUILD YOUR OWN | CHEESE OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,6.99
BUILD YOUR OWN | 1-ITEM OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.28
BUILD YOUR OWN | 2-ITEM OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,8.98
BUILD YOUR OWN | 3-ITEM OMELETTE - REGULAR,3 BROTHERS DINER,"DANBURY, CT",,9.58
