name,restaurant_name,identifier,calories,price_usd
BYO CLASSIC BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,7.25
BYO WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
BYO BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
BYO SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
BYO CLASSIC BURRITO BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,7.25
SPRING ROLL BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.75
POWERHOUSE BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
HIBACHI BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
PHO-RITO BOWL (CONTAINS GLUTEN) - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
SANTE FE BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
HIBACHI BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
PHO-RITO BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
POWERHOUSE BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
SANTE FE BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
SPRING ROLL BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.75
SWEET CHILI FILLY BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.25
SWEET CHILI FILLY BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.25
GREENHOUSE POKE - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,12.25
HAWAIIAN POKE - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.95
VOLCANO POKE - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,12.25
BUFFALO SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
COB SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
MEDITERRANEAN SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
BUFFALO WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
COB WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.95
MEDITERRANEAN WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
VEGGIE SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,7.95
VEGGIE WRAP/BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,7.95
BUDDHA WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
TACO IMPOSSIBLE SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,13.25
TACO IMPOSSIBLE WRAP - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,13.25
BUDDHA SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.25
CHICKEN TACO - 2 TACO,501 LOCAL,"CHOWNOW, WINNETKA, IL",,6.75
CHICKEN TACO - 3 TACO,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.25
AVO-TACO - 2 TACOS,501 LOCAL,"CHOWNOW, WINNETKA, IL",,7.95
AVO-TACO - 3 TACOS,501 LOCAL,"CHOWNOW, WINNETKA, IL",,9.50
STEAK TACO - 2 TACOS,501 LOCAL,"CHOWNOW, WINNETKA, IL",,8.75
STEAK TACO - 3 TACOS,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.25
CHEESE QUESADILLA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,4.95
MEAT QUESADILLA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,6.25
VEGAN QUESADILLA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,5.95
KID'S BOWL - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,5.00
KID'S BURRITO - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,5.00
KID'S SALAD - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,5.00
KID'S QUESADILLA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,5.00
CHIPS & DIP - SMALL,501 LOCAL,"CHOWNOW, WINNETKA, IL",,3.95
BUFFALO CAULIFLOWER - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,3.95
EXTRA DRESSINGS AND SAUCE - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,0.00
SALSA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,0.00
SOFT DRINKS - SINGLE,501 LOCAL,"CHOWNOW, WINNETKA, IL",,2.50
KOMBUCHA - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,4.25
SPECIALTY DRINKS - REGULAR,501 LOCAL,"CHOWNOW, WINNETKA, IL",,0.00
GIFT CARDS - $10 GIFT CARD,501 LOCAL,"CHOWNOW, WINNETKA, IL",,10.00
GIFT CARDS - $20 GIFT CARD,501 LOCAL,"CHOWNOW, WINNETKA, IL",,20.00
