name,restaurant_name,identifier,calories,price_usd
PENTHOS SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
SPINACIO SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,11.00
WEDGE SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
DEMETER SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,7.00
BEET SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
CAESAR SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,9.00
GREEK SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
IRIS SALAD - LUNCH,575 BISTRO,"CHOWNOW, KENNESAW, GA",,11.00
LEUBANO PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
ATLAS PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
GAIA PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
ORION PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
ORPHEUS PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
HERA PANINI - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
BRUSCHETTA - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,8.00
CAPRESE - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,11.00
PANDORA'S BOX - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,6.00
BAKED CHICKEN WINGS - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,9.00
PENTHOS SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,15.00
SPINACIO SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,16.00
WEDGE SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,15.00
DEMETER SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,10.00
BEET SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,15.00
CAESAR SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,13.00
GREEK SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,15.00
IRIS SALAD - DINNER,575 BISTRO,"CHOWNOW, KENNESAW, GA",,16.00
CREATE YOUR OWN PIZZA | 10 INCH  SMALL - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,12.00
CREATE YOUR OWN PIZZA | 12 INCH  GLUTEN-FREE CRUST - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,16.00
CREATE YOUR OWN PIZZA | 16 INCH  LARGE - REGULAR,575 BISTRO,"CHOWNOW, KENNESAW, GA",,16.00
PROMETHEUS - SMALL,575 BISTRO,"CHOWNOW, KENNESAW, GA",,15.00
