name,restaurant_name,identifier,calories,price_usd
ALOO TIKKI CHAT - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,7.00
ONION BHAJIA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
VEGETABLE SAMOSA (2) - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
VEGETABLE PAKORA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
CHANA PAPRI CHAT - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,6.00
FISH TEMPURA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,8.00
CHICKEN LOLLIPOP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,8.00
CHICKEN 65 - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,10.00
FISH FRY - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,10.00
SHRIMP COCONUT FRITTERS - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,12.00
CHILI PANEER - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,8.00
68 BISTRO PLATTER - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,12.00
CHILI CHICKEN - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,10.00
VEGETABLE MOMOS | DUMPLINGS (4) - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,8.00
HOT & SOUR SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
MANCHOW SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
TOMATO SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,4.00
CHICKEN SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,4.00
SEAFOOD SPECIAL SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
LENTIL SOUP - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,4.00
GARDEN SALAD - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
KACHUMBER SALAD - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,5.00
GOBI TAWA MASALA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
CHANA MASALA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,14.00
MATAR PANEER | ALOO MATAR - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
DAL FRY - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,14.00
PANEER TIKKA MASALA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
METHI MALAI PANEER - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
VEGETABLE JALFRIEZE - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,14.00
VEGETABLE COCONUT - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
VEGETABLE MANCHURIA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,14.00
PLAIN DOSA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,9.00
ONION DOSA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,9.00
MASALA DOSA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,9.00
MIXED VEGETABLE DOSA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,9.00
CHICKEN TIKKA MASALA - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,17.00
CHICKEN SAAG - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,17.00
CHICKEN CURRY - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,15.00
CHICKEN ACHARI - REGULAR,68 INDIAN BISTRO,"CHOWNOW, HIGH POINT, NC",,16.00
