name,restaurant_name,identifier,calories,price_usd
PAPA BURGER - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.29
PAPA BURGER - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,5.29
PAPA BURGER COMBO - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,6.99
PAPA BURGER COMBO - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,7.99
ORIGINAL BACON CHEESEBURGER - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.79
ORIGINAL BACON CHEESEBURGER - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,5.79
ORIGINAL BACON CHEESEBURGER COMBO - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,7.49
ORIGINAL BACON CHEESEBURGER COMBO - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,8.49
HAMBURGER - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,2.79
HAMBURGER - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.09
HAMBURGER COMBO - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,5.39
HAMBURGER COMBO - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,6.69
CHEESEBURGER - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,3.29
CHEESEBURGER - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.29
CHEESEBURGER COMBO - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,5.99
CHEESEBURGER COMBO - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,6.99
MUSHROOM ONION MELT - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,3.59
MUSHROOM ONION MELT - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.59
MUSHROOM ONION MELT COMBO - SINGLE,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,6.29
MUSHROOM ONION MELT COMBO - DOUBLE (1/3 LB),A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,7.29
HOT DOG - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,2.25
HOT DOG COMBO - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.95
CORN DOG NUGGETS - 10 PIECE - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,3.65
CORN DOG NUGGETS COMBO - 10 PIECE - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,6.35
FOOTLONG HOT DOG - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,4.39
FOOTLONG HOT DOG COMBO - REGULAR,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,7.09
CHICKEN TENDERS - 1 PC.,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,2.19
CHICKEN TENDERS - 3 PCS.,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,5.19
CHICKEN TENDERS - 5 PCS.,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,9.57
CHICKEN TENDERS COMBO - 3 PCS.,A&W RESTAURANT,"CHOWNOW, RUSSELL, KS",,7.89
