name,restaurant_name,identifier,calories,price_usd
GARLIC BREAD - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,6.99
GRILLED VEGGIES - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,8.99
WINGS (10) - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,12.99
GARLIC KNOTS (8) - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,4.50
NATURAL CHICKEN STRIPS (5) - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,8.99
MOZZARELLA STICKS (6) - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,6.99
DEEP RIVER POTATO CHIPS - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,2.00
CALZONE - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,8.00
HOUSE STROMBOLI - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.25
VEGGIE ROLL - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.25
SLICE'S ROLL - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
CHICKEN PARM HERO - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
EGGPLANT PARM HERO - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
MEATBALL PARM HERO - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
CHICKEN CLUB - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
ITALIAN - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
TURKEY BLT - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,10.50
SAUSAGE & PEPPERS - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,9.99
HOT ROAST BEEF - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,10.50
CHICKEN PARM - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,15.99
EGGPLANT PARM - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,14.99
MEATBALL PARM - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,15.99
CHICKEN MARSALA - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,15.99
PASTA PRIMAVERA - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,13.99
CHICKEN PESTO - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,15.99
SPAGHETTI & MEATBALLS - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,12.99
BROCCOLI RABE & SAUSAGE - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,13.99
CHICKEN BROCCOLI ALFREDO - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,13.99
PENNE ALLA VODKA - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,12.99
BAKED PENNE - REGULAR,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,12.99
TAKE 5 - SMALL 14 INCH ,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,21.99
TAKE 5 - LARGE 16 INCH ,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,22.99
GRANDMA PIE - GRANDMA,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,15.75
INDIVIDUAL 12 INCH  PIZZA - INDIVIDUAL 12 INCH ,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,8.50
SMALL 14 INCH  PIZZA - SMALL 14 INCH ,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,12.50
LARGE 16 INCH  PIZZA - LARGE 16 INCH ,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,13.50
BROCCOLI RABE & SAUSAGE - GRANDMA,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
THE MAXWELL - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
THE MAXWELL - SMALL,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,19.99
PIZZA DIANE - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,19.99
PIZZA DIANE - SMALL,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,18.99
MEAT CRAVERS - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
MEAT CRAVERS - SMALL,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,19.99
MARGHERITA - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,18.99
MARGHERITA - SMALL,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,17.99
THE MILES JAMES - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,21.99
THE MILES JAMES - SMALL,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
CAPRESE - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
VEGAN - LARGE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,20.99
REG CHEESE SLICE - SLICE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,2.65
REG SLICE + 1 TOPPING - SLICE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,3.05
GOURMET SLICE - SLICE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,3.65
GRANDMA SLICE (CHEESE) - SLICE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,3.05
GRANDMA SLICE + 1 TOPPING - SLICE,ABELLA PIZZERIA,"CHOWNOW, TACOMA, WA",,3.65
