name,restaurant_name,identifier,calories,price_usd
CAESAR SALAD - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,6.99
CHICKEN CAESAR SALAD - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,7.99
GREEK SALAD - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,6.99
GARDEN SALAD - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,6.99
CHEESE SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,4.60
PEPPERONI SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,5.25
2 TOPPING SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,5.49
3 TOPPING SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,5.99
4 TOPPING SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,6.49
VEGETARIAN SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,5.99
EVERY DAY SLICE - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,5.99
CHEESE PIZZA - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,9.99
PEPPERONI - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,11.99
SIX CHEESE PIZZA - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,13.99
2 TOPPING PIZZA - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,11.99
3 TOPPING PIZZA - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,13.99
4 TOPPING PIZZA - REGULAR,ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"CHEESE PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.25
"CHEESE PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,19.95
"CHEESE PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,21.95
"CHEESE PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"PEPPERONI PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,15.95
"PEPPERONI PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,22.95
"PEPPERONI PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"PEPPERONI PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,30.95
"2 TOPPING PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,16.99
"2 TOPPING PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,22.95
"2 TOPPING PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"2 TOPPING PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,31.95
"3 TOPPING PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,17.95
"3 TOPPING PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,23.95
"3 TOPPING PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,25.95
"3 TOPPING PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,32.95
"4 TOPPING PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"4 TOPPING PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"4 TOPPING PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,26.95
"4 TOPPING PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,34.95
"CARNIVORE PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"VEGETARIAN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,13.99
"CALIFORNIA PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,13.99
"PESTO CHICKEN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"BACON ARTICHOKE CHICKEN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"BBQ CHICKEN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"HAWAIIAN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,13.99
"SEI FORMAGGIO PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"HYPHY PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"MAGIC MUSHROOMS  PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"TOM & ART SPECIAL PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"MEATY TOMATO GARLIC PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"GARLIC CHICKEN PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"SAUSAGE SUPREME PIZZA - REGULAR 10"" PERSONAL",ABE'S PIZZA,"SAN FRANCISCO, CA",,14.99
"PESTO CHICKEN PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"PESTO CHICKEN PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"PESTO CHICKEN PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"PESTO CHICKEN PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"BACON ARTICHOKE CHICKEN PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"BACON ARTICHOKE CHICKEN PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"BACON ARTICHOKE CHICKEN PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,26.95
"BACON ARTICHOKE CHICKEN PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,33.95
"CARNIVORE PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,19.95
"CARNIVORE PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"CARNIVORE PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"CARNIVORE PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,36.95
"VEGETARIAN PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,17.95
"VEGETARIAN PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,23.95
"VEGETARIAN PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,25.95
"VEGETARIAN PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,33.95
"BBQ CHICKEN PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"BBQ CHICKEN PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"BBQ CHICKEN PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,26.95
"BBQ CHICKEN PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"SEI FORMAGGIO PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"SEI FORMAGGIO PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"SEI FORMAGGIO PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"SEI FORMAGGIO PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"TOM & ART SPECIAL PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"TOM & ART SPECIAL PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"TOM & ART SPECIAL PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"TOM & ART SPECIAL PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"MEATY TOMATO GARLIC PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"MEATY TOMATO GARLIC PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"MEATY TOMATO GARLIC PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"MEATY TOMATO GARLIC PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"GARLIC CHICKEN PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"GARLIC CHICKEN PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"GARLIC CHICKEN PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"GARLIC CHICKEN PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"SAUSAGE SUPREME PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"SAUSAGE SUPREME PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"SAUSAGE SUPREME PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,27.95
"SAUSAGE SUPREME PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
"CALIFORNIA PIZZA - MEDIUM 12""",ABE'S PIZZA,"SAN FRANCISCO, CA",,18.95
"CALIFORNIA PIZZA - LARGE 16""",ABE'S PIZZA,"SAN FRANCISCO, CA",,24.95
"CALIFORNIA PIZZA - GIANT 18""",ABE'S PIZZA,"SAN FRANCISCO, CA",,26.95
"CALIFORNIA PIZZA - SUPER 20""",ABE'S PIZZA,"SAN FRANCISCO, CA",,35.95
BREADSTICKS - PLAIN STICKS,ABE'S PIZZA,"SAN FRANCISCO, CA",,7.36
