name,restaurant_name,identifier,calories,price_usd
CHEESE CURDS - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,6.50
BUFFALO CHICKEN EGGROLLS - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,7.75
FRICKLES - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,6.25
GRILLED CHICKEN SALAD - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,9.50
WEDGE SALAD - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,6.50
CLASSIC AJ - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,11.50
THE BIG BOY TRIBUTE - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,10.00
BARRIE BURGER - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,9.50
BOMBER BURGER - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,13.50
MILWAUKEE - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,10.75
COLONEL MUSTARD - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,10.50
BLACK BEAN BURGER - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,10.75
TENDERS & FRIES - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,9.75
CHICKEN CONE & FRIES - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,12.50
NASHVILLE HOT - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,11.75
HAIL CAESAR WRAP - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,11.75
BUFFALO BILL - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,11.75
SIDE SALAD - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.00
SKIN-ON FRIES - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.00
TATER TOTS - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.00
BAG O' CHIPS - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.00
FRUIT - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.00
CUSTARD SHAKE - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,5.00
ROOT BEER FLOAT - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,5.50
ORIGINAL CUSTARD CUP - CUP,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,3.50
BIG BOY BOX - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,30.00
BUILD YOUR OWN BURGER BOX - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,45.00
CHICKEN TENDERS BOX - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,40.00
TALL BOY BURGER BOX - REGULAR,AJ BOMBERS,"CHOWNOW, MILWAUKEE, WI",,50.00
