name,restaurant_name,identifier,calories,price_usd
*AJI AMARILLO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*AJI FOOD TRUCK - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*AJI SAMPLER - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,24.00
*CALLE CAPON - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
*CARRETILLERO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
CEVICHE FRITO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
*CLASICO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*EL ACHORADO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,36.00
*EL CAMIONERO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,37.00
*EL PODEROSO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
*EL POPULAR - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*EL SHIPIBO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,15.00
*LA PODEROSA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
*MARACUYA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*NIKKEI - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,15.00
*PERUVIAN BOTIJA OLIVE - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
ROCOTO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,14.00
*LECHE DE TIGRE - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,10.00
TIRADITO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,12.00
TIRADITO PASSION FRUIT - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
TIRADITO TRICOLOR - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
CAUSA ACEVICHADA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
CAUSA SAMPLER - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,12.00
CAUSAS - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,9.00
ANTICUCHOS - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,12.00
CHALAQUITA MIXTA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
CHICHARRON DE CALAMAR - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
CHICHARRON DE PESCADO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
CHORITOS A LA CHALACA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,12.00
PAPA A LA HUANCAINA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,8.00
PULPO AL OLIVO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
PULPO ANTICUCHERO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,17.00
TOSTON CHALAQUITA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
TOSTON CON PULPA DE CANGREJO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
YUCA A LA HUANCAINA - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,8.00
AJI ROLL - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
ANTARTICO ROLL - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
INKA ROLL - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
LA PITUCA ROLL - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,16.00
AGUADITO - REGULAR,AJI CEVICHE BAR CASSELBERRY,"CASSELBERRY, FL",,13.00
