name,restaurant_name,identifier,calories,price_usd
"25% OFF ALL FOOD, BEER & WINE FOR ALARY'S REWARDS MEMBERS - REGULAR",ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
BUY $100 GET $25 FREE - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,100.00
BUY $50 GET $10 FREE - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,50.00
CUTLERY PACK - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
KETCHUP PACKET - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
MUSTARD PACKET - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
NAPKIN - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
WET NAP - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,0.00
WISCONSIN CHEESE CURDS - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,8.50
TRADITIONAL OR BONELESS WINGS - HALF,ALARY'S,"CHOWNOW, ST. PAUL, MN",,8.50
TRADITIONAL OR BONELESS WINGS - FULL,ALARY'S,"CHOWNOW, ST. PAUL, MN",,16.00
HAND-CUT FRENCH FRIES - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,5.00
CHICKEN TENDERS - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,10.00
MINNESOTA POUTINE - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,11.00
MINNESOTA TATER TOTS - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,5.00
BABY DILL FRICKLES - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,9.00
BURGER HAVANA - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,11.50
THE 7TH STREET BURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,10.50
SMOKEHOUSE BURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.50
MAPLE HANGOVER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.50
BLACK & BLEU BURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,11.50
LOWERTOWN BURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.50
BACON CHEESEBURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,11.50
BISTRO BURGER - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.50
ITALIAN BEEF - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.00
ITALIAN BEEF - ADD PROVOLONE CHEESE,ALARY'S,"CHOWNOW, ST. PAUL, MN",,13.00
CRISPY FRIED CHICKEN - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.00
CRISPY FRIED CHICKEN - DIPPED IN BUFFALO SAUCE,ALARY'S,"CHOWNOW, ST. PAUL, MN",,13.00
CLASSIC CLUB - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,12.00
GRILLED CHEESE DELUXE - REGULAR,ALARY'S,"CHOWNOW, ST. PAUL, MN",,10.50
