name,restaurant_name,identifier,calories,price_usd
EDAMAME - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.95
EBI GYOZA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
SUNOMONO - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.50
CHICKEN KARAAGE - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
AGEDASHI TOFU - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
KAKI-FRY (4) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,10.00
NASU-DEN - REGULAR,ANGEL FISH,"ALAMEDA, CA",,9.00
SOFT SHELL CRAB - REGULAR,ANGEL FISH,"ALAMEDA, CA",,13.50
TEMPURA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,9.95
IKA-SUGATA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,14.00
HAMA KAMA - SMALL,ANGEL FISH,"ALAMEDA, CA",,14.95
HAMA KAMA - MEDIUM,ANGEL FISH,"ALAMEDA, CA",,16.95
HAMA KAMA - LARGE,ANGEL FISH,"ALAMEDA, CA",,19.95
AGEMONO - REGULAR,ANGEL FISH,"ALAMEDA, CA",,16.50
ANKIMO - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.00
CHA SOBA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
SALMON KAMA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.00
MORIAWASE 2-3PPL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,48.00
MORIAWASE 3-4PPL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,73.00
ANGEL FISH HOUSE SALAD - SMALL,ANGEL FISH,"ALAMEDA, CA",,4.50
ANGEL FISH HOUSE SALAD - LARGE,ANGEL FISH,"ALAMEDA, CA",,6.75
SEARED TUNA SALAD - REGULAR,ANGEL FISH,"ALAMEDA, CA",,13.00
WAKAME SALAD - REGULAR,ANGEL FISH,"ALAMEDA, CA",,5.95
ANGELFISH SASHIMI SALAD - SMALL,ANGEL FISH,"ALAMEDA, CA",,12.95
ANGELFISH SASHIMI SALAD - LARGE,ANGEL FISH,"ALAMEDA, CA",,18.50
OSHITASHI SALAD - REGULAR,ANGEL FISH,"ALAMEDA, CA",,6.50
ASPARAGUS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
AVOCADO - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
HOKKI | SURF CLAM - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
KANIKAMA | IMITATION CRAB MEAT - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
INARI | DEEP-FRIED TOFU SKIN - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
TAMAGO | JAPANESE SWEET OMELET - REGULAR,ANGEL FISH,"ALAMEDA, CA",,5.00
SABA | PICKLED MACKEREL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,5.50
EBI | SHRIMP - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.95
TAKO | OCTOPUS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,5.50
IKA | SQUID - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
MAGURO | TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.50
HAMACHI | YELLOWTAIL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.50
HAMACHI-TORO | YELLOWTAIL BELLY - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
HIRAME | HALIBUT - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.00
KANI | REAL CRAB WITH MAYO - REGULAR,ANGEL FISH,"ALAMEDA, CA",,6.50
TUNA TATAKI | SEARED TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,6.95
KODAKO | BABY OCTOPUS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.00
SAKE | SALMON - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
UMIMASU | OCEAN TROUT - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
SMOKED SAKE - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
SHIROMAGURO | ALBACORE TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
HOTATE | SCALLOP - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
TOBIKO | FLYING FISH ROE - REGULAR,ANGEL FISH,"ALAMEDA, CA",,6.95
IKURA | SALMON ROE - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.50
UNAGI | FRESH WATER EEL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
TORCHED SUSHI - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
AMAEBI | SWEET SHRIMP - REGULAR,ANGEL FISH,"ALAMEDA, CA",,11.50
TORO | FATTY TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,13.50
MIRUGAI | GIANT CLAM - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.50
EBI SAS | SHRIMP - REGULAR,ANGEL FISH,"ALAMEDA, CA",,12.50
HAMACHI SAS | YELLOWTAIL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
HOKKI SAS | SURF CLAM - REGULAR,ANGEL FISH,"ALAMEDA, CA",,12.50
KODAKO SAS | BABY OCTOPUS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
MAGURO SAS | TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
SABA SAS | PICKLED MACKEREL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
SAKE SAS | SALMON - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
SHIROMAGURO SAS | ALBACORE TUNA - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
SMOKED SAKE SAS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
TAKO SAS | OCTOPUS - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.00
UMIMASU SAS | OCEAN TROUT - REGULAR,ANGEL FISH,"ALAMEDA, CA",,18.00
CATERPILLAR ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
DRAGON ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
49ERS ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
RAIDERS ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
HOKKAIDO ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,16.95
TOMAS ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,17.50
RAINBOW ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
HARAJUKU ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,15.95
LION KING ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,16.95
ANGEL FISH ROLL (8) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,16.50
SPIDER ROLL (5) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
TEMPURA ROLL (5) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
SAKURA ROLL (5) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
SPICY LOBSTER ROLL (5) - REGULAR,ANGEL FISH,"ALAMEDA, CA",,12.50
CALIFORNIA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.95
ALASKA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
NEW YORK ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
ROCK N' ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
MARY'S ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,8.50
AVO-TUNA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
SPICY AVO-TUNA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
JAPANESE BAGEL ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
ASPARAGUS TUNA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
ASPARAGUS SALMON ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,7.95
KAPPA ROLL - REGULAR,ANGEL FISH,"ALAMEDA, CA",,4.50
