name,restaurant_name,identifier,calories,price_usd
ROAST CHICKEN SALAD - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,10.25
MANGO PECAN ROAST CHICKEN SALAD - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,10.00
YOGURT PARFAIT - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,4.85
PENNE PASTA SALAD - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,3.95
PENNE PASTA SALAD 1/2 GALLON - 1/2 GALLON,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,15.95
ROUTE 11 POTATO CHIPS - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,1.65
MIKE’S FAV SANDWICH - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,9.45
FRESH MOZZARELLA & TOMATO SANDWICH - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,7.45
MAKE YOUR SANDWICH A BOXED LUNCH - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,4.50
EPI - PLAIN,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,3.65
BOULE- PLAIN - PLAIN,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,1.35
BOULE- SOURDOUGH - SOURDOUGH,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,1.35
PLAIN CROISSANT - PLAIN,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,3.15
BUTTER - REGULAR,ANJAPPAR INDIAN RESTAURANT SEATTLE,"CHOWNOW, BELLEVUE, WA",,0.50
