name,restaurant_name,identifier,calories,price_usd
CRISPY CALAMARI RINGS - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
SPICY ROCK SHRIMP - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,8.99
CRUNCHY SHUMAI - 6 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,5.99
EDAMAME - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,3.99
HARUMAKI - 4 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
GYOZA - 6 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
AGEDASHI TOFU - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
AODAKE SHRIMP - 4 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,7.99
OYSTER TEMPURA - 5 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,8.99
VEGETABLE TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,5.99
CRAB STICK TEMPURA - 3 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
CHICKEN TEMPURA - 3 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
SHRIMP TEMPURA - 3 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
CHICKEN KARAGE - 3 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
TAKOYAKI - 3 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
NIGIRI SUSHI SAMPLER - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
SASHIMI SAMPLER - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,12.99
KAMIKAZE SUSHI - 2 PIECE,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,8.99
KAMIKAZE SUSHI - 3 PIECE,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
TUNA TATAKI - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,9.99
ALBACORE TUNA TATAKI - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,9.99
PEPPER TUNA SUSHI - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
YELLOWTAIL JALAPENO - 6 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,12.99
SNOW CRAB NARUTO - 6 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,8.99
RAINBOW NARUTO - 6 PIECES,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
CLEAR SOUP - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,1.59
MISO SOUP - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,1.59
HOUSE SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,2.59
CUCUMBER SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,3.99
AVOCADO CUCUMBER SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
SEAWEED SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
EEL SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
SPICY SQUID SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
CRUNCHY CRAB SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,6.99
SPICY SEAFOOD SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,8.99
SASHIMI SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
KANISU - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,5.99
SALMON SKIN SALAD - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,4.99
CHICKEN TERIYAKI - 8OZ.,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
BEEF TERIYAKI - 8OZ.,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,19.99
SHRIMP TERIYAKI - 9 PIECE,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,17.99
SALMON TERIYAKI - 8OZ.,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,17.99
FILET MIGNON TERIYAKI - 8OZ.,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,21.99
VEGETABLE TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,10.99
SHRIMP TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,17.99
CHICKEN TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,15.99
CALAMARI TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,17.99
COMBINATION TEMPURA - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,18.99
CHICKEN TERIYAKI & SHRIMP TEMPURA COMBO - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,18.99
BEEF TERIYAKI & SHRIMP TEMPURA COMBO - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,20.99
SALMON TERIYAKI & SHRIMP TEMPURA COMBO - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,19.99
CHICKEN KATSU BOWL - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
BEEF KATSU BOWL - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
OYSTER BOWL - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
YAKI SOBA NOODLES - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
YAKI UDON NOODLES - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
NABE YAKI UDON NOODLES - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,14.99
AODAKE RAMEN - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,16.99
CALAMARI HIBACHI DINNER - 8OZ.,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,19.99
CHICKEN HIBACHI DINNER - REGULAR,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,16.99
NEW YORK STRIP HIBACHI DINNER - 8 OZ,AODAKE SUSHI AND STEAK HOUSE,"CHOWNOW, ROMEOVILLE, IL",,21.99
