name,restaurant_name,identifier,calories,price_usd
CUBAN SANDWICH - 6 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,6.99
CUBAN SANDWICH - 12 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,8.99
CUBAN SANDWICH - 18 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,11.99
SLOW ROAST PORK SANDWICH - 6 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,5.99
SLOW ROAST PORK SANDWICH - 12 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,7.99
SLOW ROAST PORK SANDWICH - 18 INCH,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,10.99
PICADILLO WITH WHITE RICE - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,7.99
ROPA VIEJA - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,7.99
MEAT PIES | PASTEL DE CARNE - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,2.49
PERNIL WITH WHITE RICE - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,7.99
GUAVA STRUDEL | PASTEL DE GUAYABA - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,2.49
RICE PUDDING - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,3.99
FLAN - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,3.99
TRES LECHES CAKE - REGULAR,ASADOR DEL SUR,"CHOWNOW, MAPLEWOOD, MO",,4.99
