name,restaurant_name,identifier,calories,price_usd
EL PASO GRANDE - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,13.95
BARBECUE BEANS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
ONION RINGS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
GRILLED GARLIC ROLLS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
COLE SLAW - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
LONGHORN SPECIAL - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,14.95
CHEESEBURGER - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,12.95
CHEESE - SIDE,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,1.50
CHEESE - PINT,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
CHEESE - QUART,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,5.75
BARBECUE BEANS - SIDE,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
BARBECUE BEANS - PINT,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,6.50
BARBECUE BEANS - QUART,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,8.95
BARBECUE BEANS - TUB,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,18.95
BARBECUE BEANS - GALLON,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,28.95
COLE SLAW - SIDE,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
COLE SLAW - PINT,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,6.50
COLE SLAW - QUART,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,8.95
COLE SLAW - TUB,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,18.95
COLE SLAW - GALLON,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,28.95
OUR FAMOUS BBQ SANDWICH - 1/3-POUND,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,11.95
OUR FAMOUS BBQ SANDWICH - 1/2-POUND,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,13.95
LONGHORN SPECIAL - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,15.95
SLIDERS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,13.50
BRONCO BURGER - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,13.25
CHEESEBURGER - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,12.25
LONGHORN SPECIAL BURGER - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,15.50
EL PASO GRANDE - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,13.95
HOT FUDGE BROWNIE SUNDAE - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,5.95
HOT APPLE PIE ALA MODE - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,5.95
TEXAS SNACK TRAY - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,11.95
TOWER OF ONIONS RINGS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,12.95
CHIPS & SALSA - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,5.95
BARBECUE QUESADILLA - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,9.95
BARBECUE BEANS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
ONION RINGS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
GRILLED GARLIC ROLLS - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
COLESLAW - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,3.50
THE GRUB STEAK - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,23.95
PRAIRIE SCHOONER - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,18.95
FISH & CHIPS - 2-PIECE,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,12.95
FISH & CHIPS - 3-PIECE,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,15.95
GRILLED SALMON - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,19.95
LIL BIT MEAL - REGULAR,BAD TO THE BONE BBQ,"SAN JUAN CAPISTRANO, CA",,4.95
