name,restaurant_name,identifier,calories,price_usd
BUILD YOUR OWN SALAD - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.00
91 DISASTER SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.35
GRAND O' CIRCLE SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.45
FAST TRACK SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.65
RISE & SHINE SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.35
BAKED HAM & CHEESE CROISSANT ROLL - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.30
BAKER'S BLT SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
CLASSIC BLT SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
ITALY IN CORONA SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
PESTO TURKEY SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
CHIPOTLE TURKEY SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
BLACK FOREST HAM SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
CRANBERRY ALMOND TUNA SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
VEGGIE DELIGHT SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
TURKEY CLUB SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.75
PEANUT BUTTER & JELLY SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.00
ITALIAN FUSION SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.95
AMERICANA SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.95
VEGGIAMESE SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.95
FIRE-BRAISED SHREDDED PORK SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.95
FIRE-BRAISED SHREDDED CHICKEN SANDWICH - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,7.95
PLAIN BUTTER CROISSANT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.05
FILLED CROISSANT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.15
WHEAT CROISSANT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.15
MINI CROISSANT STICK - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.45
BAKED HAM & CHEESE CROISSANT ROLL - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.30
PALMIERS - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.85
BAGEL (TOASTED) WITH ONE TOPPING - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.42
DANISH CINNAMON TWIST - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.30
MUFFINS - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.40
REGULAR CAKE DONUT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.15
ROUND YEAST DONUT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.20
MAPLE BACON DONUT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.15
BARS - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.25
REAL FRUIT SMOOTHIE - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.80
REAL FRUIT SMOOTHIE - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.50
REAL FRUIT WITH TOUCH OF DAIRY - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.80
REAL FRUIT WITH TOUCH OF DAIRY - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.50
CLASSIC ALL NATURAL - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.25
CLASSIC ALL NATURAL - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.95
MILKSHAKE - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.95
MILKSHAKE - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.75
MILK - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.25
MILK - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.70
BOTTLED OJ - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.35
BOTTLED OJ - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.80
FOUNTAIN SODA - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.25
FOUNTAIN SODA - MEDIUM,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.35
FOUNTAIN SODA - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.55
FOUNTAIN JUICE - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.75
FOUNTAIN JUICE - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.95
CAN SODA - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,1.00
ICED COFFEE - SMALL 16 OZ.,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.95
ICED COFFEE - LARGE 24 OZ.,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,3.45
BLENDED FRAPPES - SMALL,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.50
BLENDED FRAPPES - LARGE,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,5.00
KLATCH COFFEE - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.15
COFFEE - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,2.05
CORONA'S CUBAN - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,8.50
CHICKEN MELT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,8.50
TUNA MELT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,8.50
VEGGIE MELT - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,8.50
TRIPLE GRILLED CHEESE - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.00
CURIOUS GEORGE - REGULAR,BANAN BOWLS,"CHOWNOW, KAILUA, HI",,4.00
