name,restaurant_name,identifier,calories,price_usd
CREAM CHEESE WONTON - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
EGGROLLS - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
BANGKOK GYO - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
FRIED BALLS - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
GOLDEN TOFU - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
CHICKEN WINGS - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,10.00
CHICKEN SATAY - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
FISH CAKE - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
PORK JERKY - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
HAPPY SHRIMP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
ISSAN SAUSAGE - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,12.00
CRISPY GARDEN - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,8.00
SPRING ROLLS - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,10.00
MOO YANG - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
THAI BBQ CHICKEN - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
CRYING TIGER - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,16.00
CHICKEN SATAY SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
CRISPY TOFU SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,10.00
SOM TUM THAI - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
SOM TUM POO SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
SOM TUM PLA RAH SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
CHICKEN LARB SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
LARB WOONSEN SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
NAHM TOK PORK SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
YUM WOONSEN SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
SPICY BEEF SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
SPICY SHRIMP SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,15.00
SPICY SEAFOOD SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,18.00
CUCUMBER SALAD - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,5.00
TOM YUM SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,9.00
TOM KHA SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
HOUSE NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
THAI BOAT NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
TOM YUM NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
DUCK NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
THE DUO - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
VEGGIE NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,11.00
SHRIMP NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
SEAFOOD NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,18.00
HAINAN CHICKEN NOODLE SOUP - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
BANGKOK ENTREE - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
SALT & PEPPER ENTREE - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,13.00
BANGKOK PAD THAI - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,14.00
DRUNKEN NOODLE | PAD KEE MAO - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,12.00
PAD SEE EW - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,12.00
PAD THAI - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,12.00
PAD THAI ROYAL - REGULAR,BANGKOK STREET FOOD,"BAKERSFIELD, CA",,12.00
