name,restaurant_name,identifier,calories,price_usd
CHILI CHEESE FRIES - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.50
CHILI CHEESE NACHOS - HALF,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,7.00
CHILI CHEESE NACHOS - WHOLE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,12.00
GARLIC BREAD & MARINARA - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
GOAT CHEESE & GRILLED PITA - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.00
GREEK NACHOS - HALF,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,7.00
GREEK NACHOS - WHOLE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,12.00
GREEK SAMPLER - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.00
LOADED POTATO SKINS - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
MEATBALL SLIDERS - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.50
TZATZIKI & PITA - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,7.00
CHICKEN WINGS - SIX (6),BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,7.00
CHICKEN WINGS - TEN (10),BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.00
CANDY BACON STRIPS - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
FRIED CAULIFLOWER BITES - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
FRIED PICKLE CHIPS - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
JALAPENO POPPERS - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
AVGOLEMONO SOUP - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,4.50
AVGOLEMONO SOUP - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.50
CHILI - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.00
CHILI - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
ITALIAN WEDDING SOUP - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,4.50
ITALIAN WEDDING SOUP - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.50
TOMATO BASIL SOUP - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,4.50
TOMATO BASIL SOUP - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.50
ANTIPASTO SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,12.50
ASPARAGUS SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.75
BAKED CHICKEN SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,11.00
CAESAR SALAD - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.50
CAESAR SALAD - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,8.50
CRANBERRY & BACON SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,11.75
GORGONZOLA SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.50
GREEK SALAD - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,6.00
GREEK SALAD - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.50
MEDITERRANEAN SALAD - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,13.25
TOSSED SALAD - SMALL,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,5.75
TOSSED SALAD - LARGE,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,8.75
BLT&T WRAP - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
BUFFALO CHICKEN SUB - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.25
CHICKEN CAESAR WRAP - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
CHICKEN WRAP - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
CLUB WRAP - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
FALAFEL SANDWICH - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
FRENCH DIP - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.25
GARDEN GRILL - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.00
GYRO - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.25
HALF & HALF - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,8.50
ITALIAN SUB - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.00
MEATBALL SUB - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.25
MOM'S HAM & CHEESE SANDWICH - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,8.75
PARMESAN SUB - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,10.25
PIZZA SANDWICH - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.50
REUBEN SANDWICH - REGULAR,BASILS PIZZA & DELI,"CHOWNOW, SAVANNAH, GA",,9.75
