name,restaurant_name,identifier,calories,price_usd
CORNED BEEF BY THE POUND - 1/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,8.00
CORNED BEEF BY THE POUND - 1/2 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,14.00
CORNED BEEF BY THE POUND - 3/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,19.00
CORNED BEEF BY THE POUND - 1 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,24.95
CORNED BEEF BY THE POUND - 2 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,48.00
CORNED BEEF BY THE POUND - 3 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,69.00
PORTOBELLO MUSHROOM BY THE POUND - 1/2 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,7.00
PORTOBELLO MUSHROOM BY THE POUND - 3/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,10.50
PORTOBELLO MUSHROOM BY THE POUND - 1 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,14.00
PORTOBELLO MUSHROOM BY THE POUND - 2 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,28.00
PORTOBELLO MUSHROOM BY THE POUND - 3 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,42.00
OKLAHOMA ‘HOT LINKS INCH  SPICY BEEF SAUSAGE’ BY THE POUND - 1/2 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,7.50
OKLAHOMA ‘HOT LINKS INCH  SPICY BEEF SAUSAGE’ BY THE POUND - 3/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,11.25
OKLAHOMA ‘HOT LINKS INCH  SPICY BEEF SAUSAGE’ BY THE POUND - 1 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,15.00
OKLAHOMA ‘HOT LINKS INCH  SPICY BEEF SAUSAGE’ BY THE POUND - 2 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,30.00
OKLAHOMA ‘HOT LINKS INCH  SPICY BEEF SAUSAGE’ BY THE POUND - 3 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,45.00
TULSA BBQ PULLED PORK BY THE POUND - 1/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,6.50
TULSA BBQ PULLED PORK BY THE POUND - 1/2 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,10.00
TULSA BBQ PULLED PORK BY THE POUND - 3/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,15.50
TULSA BBQ PULLED PORK BY THE POUND - 1 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,18.95
TULSA BBQ PULLED PORK BY THE POUND - 2 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,36.00
TULSA BBQ PULLED PORK BY THE POUND - 3 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,54.00
BBQ BEEF BRISKET BY THE POUND - 1/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,8.50
BBQ BEEF BRISKET BY THE POUND - 1/2 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,14.00
BBQ BEEF BRISKET BY THE POUND - 3/4 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,19.50
BBQ BEEF BRISKET BY THE POUND - 1 LB.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,24.95
BBQ BEEF BRISKET BY THE POUND - 2 LBS.,BEATRIX OAK BROOK,"CHOWNOW, OAK BROOK, IL",,46.00
