name,restaurant_name,identifier,calories,price_usd
EGG ROLL - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,9.00
BUFFALO WINGS - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,14.00
HAND-PRESSED IND BEEF BURGER - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,14.00
HAND-PRESSED IND TURKEY BURGER - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
AMERICANO - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
MARGHERITA - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
BROOKLYN - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
SPINACH & MUSHROOM - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
JAYEL - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,15.00
SWEET POTATO FRIES - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,6.00
TATER TOTS - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,6.00
FRIES - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,6.00
RANCH - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
BLUE CHEESE DRESSING - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
HONEY MUSTARD - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
SALAD DRESSING - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
BBQ SAUCE - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
MAYO - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,0.50
COKE - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,2.50
DIET COKE - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,2.50
SPRITE - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,2.50
SWEET TEA - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,2.50
UNSWEET TEA - REGULAR,BEVERLY HILLS MARKET & DELI,"BEVERLY HILLS, CA",,2.50
