name,restaurant_name,identifier,calories,price_usd
FREEDOM RINGS - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,8.95
JALAPENO & CHEESE FRITTER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
FRIED GREEN TOMATOES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,8.95
JAPANESE SHRIMP - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,10.95
CRAB CAKES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,15.95
MAC & CHEESE - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,8.95
CHIPS & SALSA - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,4.95
CHIPS & QUESO - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,7.95
CHIPS & SAUSAGE DIP - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
CHIPS & GUACAMOLE - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,8.95
CHIPS & PIMENTO DIP - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,8.95
FUSSY FIVE - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,10.95
EVERY DAY I'M TRUFFLIN' LOADED FRIES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
WILD SOUTHWEST LOADED FRIES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
CAROLINA-TEX MEX LOADED FRIES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
LOADED TATER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
BUFFALO HERD LOADED FRIES - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
POUTINE - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
PIGGY ENCHILADAS - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,25.00
DIABLO PIZZA - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,13.99
CAESAR SALAD - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,7.95
WEDGE SALAD - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,7.95
MIXED GREEN SALAD - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,7.95
EASTERN NORTH CAROLINA BBQ SANDWICH - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,11.95
CRAB CAKE SANDWICH - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,14.95
GRILLED CHICKEN SANDWICH - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,9.95
BUFFALO CHICKEN SANDWICH - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,11.95
STREET CRED BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,13.95
SCAPE GOAT BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,13.95
ALL AMERICAN BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,11.95
GREAT SOUTHERN BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
HAVARTI JAM BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
BREAKFAST BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
STEAK HOUSE BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
POUR OVER BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
CUBANO BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
ALOHA BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,11.95
POUTINE BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
DIABLO BURGER - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,13.95
JAPANESE TACOS - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,12.95
PIGGY TACOS - REGULAR,BIG JAWNS PHILLY STYLE DELI,"CHOWNOW, ATLANTA, GA",,10.95
