name,restaurant_name,identifier,calories,price_usd
EGGS & CHORIZO | HUEVOS CON CHORIZO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
EGGS & HAM | HUEVOS CON JAMON - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
BACON & EGGS MIXED | HUEVOS CON TOCINO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
SAUSAGE & EGGS | HUEVOS CON SAUSAGE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
POTATO & EGGS | HUEVO CON PAPA - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
RANCHERO STYLE EGGS | HUEVOS RANCHEROS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
POTATOES RANCHERO | PAPAS RANCHEROS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
BREAKFAST SUPREME PLATE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,5.99
PORK CHOP BREAKFAST - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,5.99
MEGA PLATE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,5.99
MIGAS PLATE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,5.99
EGG & CHORIZO | HUEVOS Y CHORIZO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
EGG & HAM | HUEVOS Y JAMON - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
BACON & EGG | HUEVOS Y TOCINO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
SAUSAGE & EGG | HUEVOS Y SAUSAGE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
POTATO & EGG | HUEVO Y PAPA - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
BEAN & EGG | HUEVOS Y FRIJOLES - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.10
NACHOS SUPREME - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,5.99
FAJITA NACHOS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,7.49
NACHOS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
QUESADILLA GRANDE - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,7.49
CHILI CON QUESO AND CHIPS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
QUESO FLAMEDO (CHORIZO) - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,4.99
GUACAMOLE & CHIPS - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
BURRITO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,4.75
JALISCO BURRITO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,7.25
TORTA - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,4.75
GORDITA - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,3.99
TACO - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.25
CHALUPA - REGULAR,BINGO BURGER,"COLORADO SPRINGS, CO",,2.75
