name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,0.00
GRILLED CHEESE SANDWICH - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,3.63
CHILI DOG SPECIAL - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,9.36
CHILI DOG - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,3.19
BBQ PORK SANDWICH - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,4.58
JUMBO BBQ PORK OR CHICKEN SANDWICH - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,6.29
HOT DOG - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,2.48
BBQ CHICKEN SANDWICH - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,4.58
RIB SANDWICH - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.70
VEGETABLE PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,8.38
GRILLED CHEESE SANDWICH PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,7.99
RIB SPECIAL - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,12.67
CHOPPED PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,12.40
PORK & RIB PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,18.56
RIB PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,22.84
WHOLE RACK RIBS PLATE - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,34.36
BRUNSWICK STEW - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,7.39
BRUNSWICK STEW - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,14.33
BRUNSWICK STEW - 1/2 GALLON,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,27.45
BRUNSWICK STEW - GALLON,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,52.37
SLAW - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
SLAW - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.42
BAKED BEANS - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
BAKED BEANS - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.42
VEGETABLE - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
VEGETABLE - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.42
BBQ SAUCE - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
BBQ SAUCE - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.42
MACARONI & CHEESE - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
MACARONI & CHEESE - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.97
RIBS - HALF RACK,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,16.17
RIBS - WHOLE RACK,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,30.99
CHOPPED PORK - 1/2 LB.,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,9.15
CHOPPED PORK - 1 LB.,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,15.82
CHOPPED CHICKEN - 1/2 LB.,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,9.15
CHOPPED CHICKEN - 1 LB.,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,16.04
POTATO SALAD - PINT,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,5.51
POTATO SALAD - QUART,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,10.42
FAMILY PACK - PORK,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,28.64
FAMILY PACK - CHCIKEN,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,28.64
KIDS GRILLED CHEESE MEAL - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,4.90
KIDS DRINK - REGULAR,BLEU HOUSE,"CHOWNOW, NORCROSS, GA",,1.10
