name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,0.00
BIG FAT GREEK SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.49
ALL THE MEATS SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,7.49
FARMER'S MARKET SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.29
SPREADS FOR A CROWD - PINT (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,9.99
SPREADS FOR A CROWD - QUART,BLISS BISTRO,"HALEYVILLE, AL",,15.00
SPREADS FOR A CROWD - GALLON (24 HOURS NOTICE),BLISS BISTRO,"HALEYVILLE, AL",,50.00
THE SCOOP SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,4.00
TRIPLE PLAY SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,7.49
VERY BERRY SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.49
BACON CHEDDAR CHICKEN SALAD SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.25
THE CLUB SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,6.25
PICK TWO SPECIAL - PICK TWO,BLISS BISTRO,"HALEYVILLE, AL",,7.99
PECAN CHICKEN SALAD SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.25
TRIPLE CHEESE PIMENTO SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.25
TRIPLE CHEESE PIMENTO SANDWICH - WICKED,BLISS BISTRO,"HALEYVILLE, AL",,5.25
WICKED PIMENTO CHEESE SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.25
WICKED PIMENTO CHEESE SANDWICH - WICKED,BLISS BISTRO,"HALEYVILLE, AL",,5.25
GRILLED CHEESE SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.00
GRILLED PCB SANDWICH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.00
SWEET TURKEY AND SWISS - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.75
THE GRILLED CLUB - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,6.75
THE CHEESY PIG - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.75
CHICKEN BACON RANCH - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,5.75
THE ALABAMA CUBAN - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,6.75
COFFEE - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,2.25
UNSWEET TEA - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,2.00
PINEAPPLE LEMONADE - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,2.00
PINEAPPLE LEMONADE - GALLON,BLISS BISTRO,"HALEYVILLE, AL",,7.00
BAKED SPAGHETTI - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
BAKED SPAGHETTI - HALF (2-4),BLISS BISTRO,"HALEYVILLE, AL",,14.99
CHEESY CHICKEN SPAGHETTI - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
CHEESY CHICKEN SPAGHETTI - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
BLISS MEATLOAF - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
BLISS MEATLOAF - HALF,BLISS BISTRO,"HALEYVILLE, AL",,14.99
LOW CARB BACON CHEESEBURGER CASSEROLE - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
LOW CARB BACON CHEESEBURGER CASSEROLE - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
LOW CARB JALAPENO POPPER CHICKEN - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
LOW CARB JALAPENO POPPER CHICKEN - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
BEEFY ENCHILADAS - FULL SIZE,BLISS BISTRO,"HALEYVILLE, AL",,21.99
BEEFY ENCHILADAS - HALF SIZE,BLISS BISTRO,"HALEYVILLE, AL",,14.99
CREAMY CHICKEN ENCHILADAS - FULL SIZE,BLISS BISTRO,"HALEYVILLE, AL",,21.99
CREAMY CHICKEN ENCHILADAS - HALF SIZE,BLISS BISTRO,"HALEYVILLE, AL",,14.99
SOUR CREAM TACO RICE BAKE - FULL (4-6),BLISS BISTRO,"HALEYVILLE, AL",,21.99
SOUR CREAM TACO RICE BAKE - HALF (2-4),BLISS BISTRO,"HALEYVILLE, AL",,14.99
TAILGATING SLIDERS - FULL SIZE (DOZEN),BLISS BISTRO,"HALEYVILLE, AL",,21.99
FRENCH DIP SLIDERS - FULL SIZE (DOZEN),BLISS BISTRO,"HALEYVILLE, AL",,21.99
FRENCH DIP SLIDERS - HALF DOZEN,BLISS BISTRO,"HALEYVILLE, AL",,14.99
POPPYSEED CHICKEN - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
POPPYSEED CHICKEN - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
MACHO NACHO TACO CASSEROLE - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
MACHO NACHO TACO CASSEROLE - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
CHEEZ IT CHICKEN - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
CHEEZ IT CHICKEN - HALF (2-4),BLISS BISTRO,"HALEYVILLE, AL",,14.99
SAUSAGE HASHBROWN BREAKFAST CASSEROLE - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
SAUSAGE HASHBROWN BREAKFAST CASSEROLE - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
CHICKEN AND DRESSING - FULL SIZE,BLISS BISTRO,"HALEYVILLE, AL",,21.99
CHICKEN AND DRESSING - HALF SIZE,BLISS BISTRO,"HALEYVILLE, AL",,14.99
ITALIAN CHICKEN AND VEGGIES - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
ITALIAN CHICKEN AND VEGGIES - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
BUFFALO CHICKEN SLIDERS - FULL SIZE (DOZEN),BLISS BISTRO,"HALEYVILLE, AL",,21.99
BUFFALO CHICKEN SLIDERS - HALF DOZEN,BLISS BISTRO,"HALEYVILLE, AL",,14.99
FRIYAY SHRIMP BOIL FOR 4-6 - REGULAR (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,39.99
"CHICKEN, BROCCOLI, AND RICE - FULL SIZE",BLISS BISTRO,"HALEYVILLE, AL",,21.99
"CHICKEN, BROCCOLI, AND RICE - HALF SIZE",BLISS BISTRO,"HALEYVILLE, AL",,14.99
SAUSAGE CRESCENT BAKE - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
SAUSAGE CRESCENT BAKE - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
STICKY CHICKEN - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
STICKY CHICKEN - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
MEXICAN LASAGNA - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
MEXICAN LASAGNA - HALF (2-4 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,14.99
MIGHTY MEATBALL SUB BAKE - FULL (4-6 SERVINGS),BLISS BISTRO,"HALEYVILLE, AL",,21.99
MIGHTY MEATBALL SUB BAKE - HALF (2-4),BLISS BISTRO,"HALEYVILLE, AL",,14.99
DINNER BIG FAT GREEK SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,10.99
SMOTHERED GREEN BEANS - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
SMOTHERED GREEN BEANS - FULL SIZE,BLISS BISTRO,"HALEYVILLE, AL",,14.99
BAKED MACARONI AND CHEESE - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
ASPARAGUS DIVINE - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
CHEESY SQUASH CASSEROLE - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,9.99
CORN CASSEROLE - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,9.99
PARMESAN ROASTED BROCCOLI - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
DINNER VERY BERRY SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,10.99
DINNER FARMER’S MARKET SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,9.99
CRACK POTATOES - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,9.99
SMASHED BRUSSELS SPROUTS - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
MEXICAN STREET CORN - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
BAKED ZUCCHINI CHIPS - SIDE: 4-6 SERVINGS,BLISS BISTRO,"HALEYVILLE, AL",,9.99
STRAWBERRY PRETZEL SALAD - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,21.99
PEANUT BUTTER PIE - FULL PIE,BLISS BISTRO,"HALEYVILLE, AL",,14.99
HOMEMADE ‘NANNER PUDDIN’ - FULL PAN,BLISS BISTRO,"HALEYVILLE, AL",,18.99
HOT LUNCH SPECIAL - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,9.99
SANDWICH MEAL DEAL - REGULAR,BLISS BISTRO,"HALEYVILLE, AL",,29.99
