name,restaurant_name,identifier,calories,price_usd
HOUSE CHEESE BOARD - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
SIDE SALAD - CAESAR - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.50
SIDE SALAD - MIDICI HOUSE - SIDE,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.00
SOUP OF THE DAY - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.95
GARLIC CHEESE BREAD - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,4.95
HOUSE MEAT BOARD - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
HOUSE MEAT & CHEESE PLATE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,16.95
HOUSEMADE MEATBALLS - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,6.95
BRUSCHETTA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.95
BAKED BURRATA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,6.95
BURRATA CAPRESE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,8.45
BURRATA WITH MELON & PROSCIUTTO - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
MIDICI HOUSE SALAD - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,8.95
THE CAESAR - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,9.45
WALNUT & GORGONZOLA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
THE ITALIAN SALAD - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.95
THE GREEK - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
THE CHICKEN PESTO CALZONE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,11.95
THE MEATBALL CALZONE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
THE SPICY SAUSAGE CALZONE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.45
THE FOUR CHEESE CALZONE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.95
THE TRUFFLE CALZONE - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.45
THE MARGHERITA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,9.95
RED MARINARA PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,8.95
WHITE PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,9.45
HOUSE PESTO PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,9.95
TRUFFLE PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,10.95
DOUBLE PEPPERONI PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,11.95
THE MEATS PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.95
THE FOUR CHEESE PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,11.45
THE DEVIL'S PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.95
THE HAWAIIAN PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.95
EGG N' BACON PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.45
CHICKEN PESTO PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.95
FROM THE GARDEN PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,13.95
THE FOREST PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,12.95
MARGHERITA & PROSCIUTTO PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,13.95
TRUFFLE & PROSCIUTTO PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,14.95
TRUFFLE & VEGETABLE PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,14.95
SHRIMP SCAMPI PIZZA - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,13.45
SIGNATURE NUTELLA® CALZONE WITH FRESH BERRIES - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,6.95
TIRAMISU - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,6.95
AFFOGATO - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.95
ITALIAN GELATO & SORBETTA - 1 SCOOP,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,3.50
ITALIAN GELATO & SORBETTA - 2 SCOOPS,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,5.50
ITALIAN GELATO & SORBETTA - 3 SCOOPS,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,7.50
CANNOLI SICILIANI - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,6.45
ESPRESSO - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,3.45
MACCHIATO - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,3.95
AMERICANO - REGULAR,BLUWATER BISTRO,"CHOWNOW, SEATTLE, WA",,3.45
