name,restaurant_name,identifier,calories,price_usd
FAMOUS BREADSTICKS (6) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,5.25
CHEESE BREAD - SMALL,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.99
CHEESE BREAD - MEDIUM,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,9.99
CHEESE BREAD - LARGE,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,12.99
GARLIC KNOTS (12) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,5.25
TRADITIONAL WINGS (8) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,8.99
BONELESS WINGS (8) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,7.99
SIDE SALAD - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.75
CAESAR SALAD - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.50
GARLIC BREAD WITH CHEESE (3) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.74
GARLIC BREAD (3) - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,5.74
SPICY WAFFLE FRIES - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.98
RUSTIC ITALIAN SANDWICH - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,8.99
RUSTIC HAM & CHEESE SANDWICH - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,8.99
RUSTIC CHICKEN BACON RANCH SANDWICH - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,8.99
RUSTIC ITALIAN BEEF SANDWICH - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,9.99
RUSTIC VEGGIE SANDWICH - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,8.99
BUILD YOUR OWN CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,9.99
PEPPERONI EXTREME CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,10.99
SUPREME CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,16.99
5 MEAT CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,15.99
TEXAS BBQ CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,15.99
HAWAIIAN CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,14.99
VEGGIE CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,15.99
CHICKEN & BACON ALFREDO CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,13.99
CHICKEN BACON BBQ CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,15.99
BUFFALO CHICKEN CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,13.99
CHEESEBURGER CALZONE - REGULAR,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,13.99
BUILD YOUR OWN PIZZA | HAND TOSSED - SMALL,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,6.99
BUILD YOUR OWN PIZZA | HAND TOSSED - MEDIUM,BOURBON STREET PIZZA,"CHOWNOW, SOUTH BEND, IN",,9.99
