name,restaurant_name,identifier,calories,price_usd
FRIED PICKLES - REGULAR,BRADLEY AND WALL,"MADISON, CT",,5.95
GARLIC PARMESAN CHEESE BITES - REGULAR,BRADLEY AND WALL,"MADISON, CT",,4.99
BONELESS WINGS - 8 WINGS,BRADLEY AND WALL,"MADISON, CT",,7.99
BONELESS WINGS - 16 WINGS,BRADLEY AND WALL,"MADISON, CT",,14.99
TOASTED RAVIOLI (8) - REGULAR,BRADLEY AND WALL,"MADISON, CT",,6.99
MOZZARELLA STICKS - 8 PIECES,BRADLEY AND WALL,"MADISON, CT",,6.95
MOZZARELLA STICKS - 16 PIECES,BRADLEY AND WALL,"MADISON, CT",,12.99
JALAPENO POPPERS - 8 PIECES,BRADLEY AND WALL,"MADISON, CT",,6.95
FRIED MUSHROOMS - 12 PIECES,BRADLEY AND WALL,"MADISON, CT",,6.95
FRIED MUSHROOMS - 24 PIECES,BRADLEY AND WALL,"MADISON, CT",,11.95
SMOKED & FRIED CHICKEN WINGS - 8 WINGS,BRADLEY AND WALL,"MADISON, CT",,8.25
SMOKED & FRIED CHICKEN WINGS - 16 WINGS,BRADLEY AND WALL,"MADISON, CT",,15.99
FRIED ZUCCHINI STICKS - REGULAR,BRADLEY AND WALL,"MADISON, CT",,5.99
GARLIC CHEESE BREAD - REGULAR,BRADLEY AND WALL,"MADISON, CT",,4.99
PEPPERONI PIZZA BREAD - REGULAR,BRADLEY AND WALL,"MADISON, CT",,5.99
"1-TOPPING PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,14.99
"1-TOPPING PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,13.99
"2-TOPPING PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.49
"2-TOPPING PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,15.49
"3-TOPPING PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"3-TOPPING PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
"1/2-1/2 PIZZAS - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,13.99
"1/2-1/2 PIZZAS - 10"" GLUTEN FREE",BRADLEY AND WALL,"MADISON, CT",,12.99
"VEGGIE PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,15.99
"VEGGIE PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,14.99
"MEAT LOVERS PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,18.99
"MEAT LOVERS PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"SUPREME PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"SUPREME PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
"MEATBALL PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"MEATBALL PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
"TACO PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"TACO PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
"BUFFALO CHICKEN PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,15.99
"BUFFALO CHICKEN PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,14.99
"BBQ CHICKEN PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,15.99
"BBQ CHICKEN PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,14.99
"CHEESEBURGER PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"CHEESEBURGER PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
"PHILLY PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"PHILLY PIZZA - 10"" GLUTEN FREE",BRADLEY AND WALL,"MADISON, CT",,16.99
"HEART ATTACK - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,25.99
"HEART ATTACK - 10"" GLUTEN FREE",BRADLEY AND WALL,"MADISON, CT",,23.99
"CHICKEN & BACON ALFREDO PIZZA - 16"" PIZZA",BRADLEY AND WALL,"MADISON, CT",,17.99
"CHICKEN & BACON ALFREDO PIZZA - 10"" GLUTEN-FREE PIZZA",BRADLEY AND WALL,"MADISON, CT",,16.99
DRESSING - REGULAR,BRADLEY AND WALL,"MADISON, CT",,0.00
2 LITER SODA - REGULAR,BRADLEY AND WALL,"MADISON, CT",,2.75
WATER - REGULAR,BRADLEY AND WALL,"MADISON, CT",,0.99
CHICKEN PARMESAN - REGULAR,BRADLEY AND WALL,"MADISON, CT",,9.99
FRENCH DIP - REGULAR,BRADLEY AND WALL,"MADISON, CT",,10.49
BBQ CHICKEN SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.49
BLT SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
BUFFALO CHICKEN SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,7.99
CHICKEN BACON RANCH SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
CHICKEN PARMESAN - REGULAR,BRADLEY AND WALL,"MADISON, CT",,9.99
FRENCH DIP - REGULAR,BRADLEY AND WALL,"MADISON, CT",,10.49
HAM MELT SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,7.99
HOT HAM & CHEESE SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,7.49
ITALIAN SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,7.99
MEATBALL SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
ROAST BEEF - REGULAR,BRADLEY AND WALL,"MADISON, CT",,9.99
SPICY BBQ CHICKEN SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
THE CLUB SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,9.99
TURKEY MELT SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,7.99
VEGGIE SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,6.99
CHICKEN CAESAR SANDWICH - REGULAR,BRADLEY AND WALL,"MADISON, CT",,9.99
DINNER SALAD - SMALL,BRADLEY AND WALL,"MADISON, CT",,2.99
BUFFALO CHICKEN SALAD - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
CAESAR SALAD - REGULAR,BRADLEY AND WALL,"MADISON, CT",,5.99
CHEF SALAD - REGULAR,BRADLEY AND WALL,"MADISON, CT",,8.99
DINNER SALAD - SMALL,BRADLEY AND WALL,"MADISON, CT",,3.99
DINNER SALAD - LARGE,BRADLEY AND WALL,"MADISON, CT",,5.99
HOUSE SALAD - SMALL,BRADLEY AND WALL,"MADISON, CT",,6.99
HOUSE SALAD - LARGE,BRADLEY AND WALL,"MADISON, CT",,8.99
CANNOLI - REGULAR,BRADLEY AND WALL,"MADISON, CT",,2.99
