name,restaurant_name,identifier,calories,price_usd
"QUICHE - LARGE - BACON, TOMATO, ONION",BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,25.95
QUICHE - LARGE - SPINACH FETA,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,25.95
QUICHE - LARGE - HAM & CHEESE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,25.95
"QUICHE - SMALL - BACON, TOMATO, ONION",BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
QUICHE - SMALL - SPINACH FETA,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
QUICHE - SMALL - HAM & CHEESE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
CROISSANTS - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
BREAKFAST BUNS - 2 PACK,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.25
BREAKFAST BUNS - 4 PACK,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,8.00
BREAKFAST BUNS - 6 PACK,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,11.75
DANISH - CREAM CHEESE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
DANISH - WITH FRUIT,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.25
SCONES - SCONE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
CHOCOLATE CROISSANT - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.35
MUFFINS - BLUEBERRY,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
MUFFINS - CHOCOLATE CHIP,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
MUFFINS - CRANBERRY PECAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
SPINACH FETA PUFF PASTRIES - BAKED - 4 PACK - BAKED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,13.25
SPINACH FETA PUFF PASTRIES - BAKED - 8 PACK - BAKED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,26.00
MUFFINS - 6 COUNT - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.00
BAGEL - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.00
CHOCOLATE CROISSANT - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.00
CINNAMON ROLL - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.25
DANISH WITH CREAM CHEESE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
DANISH WITH FRUIT - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.25
SCONE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.95
NUTTY PIG - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,7.00
THE GOAT - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
THE HIKER - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
GREEN THUMB - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
SOUTHERN SPICE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,8.00
STRAWBERRY FIELDS - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,8.00
PISTACHIO CHICKEN SALAD SANDWICH - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
CHICKEN PESTO SANDWICH - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
TURKEY CRANBERRY - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
"SAUSAGE, EGG, & CHEESE SANDWICH - REGULAR",BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
"BACON, EGG, & CHEESE SANDWICH - REGULAR",BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
BUILD YOUR OWN SANDWICH - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
COOKIES - BAKED 6 PACK - CHOCOLATE CHIP,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - OATMEAL RAISIN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - PEANUT BUTTER,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - S'MORES,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - GLUTEN FREE CHOCOLATE CHIP,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - SUGAR FREE CHOCOLATE CHIP,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - SUGAR FREE LEMON,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
COOKIES - BAKED 6 PACK - SUGAR FREE OATMEAL PECAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,19.95
STRAWBERRY DELIGHT - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.75
GEORGIA BLUE - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.75
SWEET MAGNOLIA - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.75
BANANA BERRY - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.75
MATCHA BREEZE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,7.00
AMERICANO - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.75
AMERICANO - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
AMERICANO - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
BNB ICED COFFEE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
BNB ICED COFFEE - PLUS (WITH SHOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
BREVE - 12 OZ.,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.25
BREVE - 16 OZ. (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.75
BREVE - 16 OZ. (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.75
BULK ICED COFFEE GALLON - REGULAR - GALLON,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,22.00
BULK ICED COFFEE GALLON - B AND B ICED - GALLON,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,29.95
BULK ICED COFFEE GALLON - REGULAR - HALF GALLON,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.00
BULK ICED COFFEE GALLON - B AND B ICED - HALF GALLON,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.00
CAFE AU LEIT - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
CAFE AU LEIT - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
CAFE AU LEIT - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
CAPPUCINO - 10OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
CHAI LATTE - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
CHAI LATTE - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.75
CHAI LATTE - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.75
DRIP COFFEE - 12OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.25
DRIP COFFEE - 12OZ (DECAF),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.25
DRIP COFFEE - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.75
DRIP COFFEE - 16OZ (DECAF),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.75
ESPRESSO - HOT,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.50
ESPRESSO - ICED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.50
HOT CHOCOLATE - 10OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.00
HOT CHOCOLATE - 12OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.50
HOT CHOCOLATE - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
ICED COFFEE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.00
ICED TEA - SWEET,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.00
ICED TEA - UNSWEET,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.00
ICED TEA - HALF & HALF,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,2.00
LATTE - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
LATTE - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
LATTE - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
LONDON FOG - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.00
LONDON FOG - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
LONDON FOG - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
LOOSE LEAF TEA - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.00
MATCHA LATTE - 12OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.50
MATCHA LATTE - 16OZ (HOT),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,5.00
MATCHA LATTE - 16OZ (ICED),BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,5.00
POUROVER - 12OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.75
POUROVER - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.75
VAMPIRE LATTE - 12OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,4.75
VAMPIRE LATTE - 16OZ,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,5.25
NITRO BREW - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,6.00
DECAF NICARAGUA - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.50
DECAF NICARAGUA - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.50
GUATEMALA - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.00
GUATEMALA - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.00
STAMPEDE - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
STAMPEDE - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
BRAZIL - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
BRAZIL - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
COLUMBIA - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
COLUMBIA - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,14.50
ETHIOPIA - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.50
ETHIOPIA - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.50
MEXICO - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.00
MEXICO - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.00
NICARAGUA - 12OZ - WHOLE BEAN,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.50
NICARAGUA - 12OZ - GROUND,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,15.50
CUPCAKES - 6 PACK - 6 CUPCAKES,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.45
WHOLE CHEESECAKE - STRAWBERRY,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,45.00
WHOLE CHEESECAKE - CHOCOLATE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,45.00
WHOLE CHEESECAKE - BLUEBERRY,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,45.00
WHOLE CHEESECAKE - SALTED CARAMEL,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,45.00
MINI CHEESECAKES - ALL 6 CHOCOLATE,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,12.00
MINI CHEESECAKES - ALL 6 CARAMEL,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,12.00
MINI CHEESECAKES - 6 ASSORTED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,12.00
CANNOLI - 6 PACK - ALL 6 CHOC,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,18.00
CANNOLI - 6 PACK - ALL 6 SUGAR COATED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,16.00
CANNOLI - 6 PACK - ALL 6 ASSORTED,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,17.00
CUPCAKE - REGULAR,BREAD AND BUTTER BAKERY,"CHOWNOW, COVINGTON, GA",,3.25
