name,restaurant_name,identifier,calories,price_usd
DEVILED EGGS & MILLIONAIRE'S BACON - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
LOBSTER BISQUE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
SPINACH & ARTICHOKE DIP - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
CAESAR SALAD - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
LITTLE GEM CHOPPED SALAD - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
THE WEDGE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
FRIED CALAMARI - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,16.00
GRILLED CALIFORNIA ARTICHOKES - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
OYSTERS ON THE 1/2 SHELL - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,18.00
SHANGHAI SHRIMP - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,16.00
HEIRLOOM TOMATO & BURRATA - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,16.00
CURBSIDE PICKUP (ADD TO CART FOR CURBSIDE PICK UP) - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,0.00
BBQ PORK BABY BACK RIBS | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,28.00
BISTRO CHICKEN | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,26.00
CHICKEN MILANESE | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,26.00
PRIME MEATLOAF | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,26.00
RIBEYE | 16 OZ - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,38.00
STEAK AU POIVRE 8OZ - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,42.00
PRIME RIB 12 OZ - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,34.00
AHI TUNA STEAK | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,28.00
ATLANTIC SALMON | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,28.00
CRAB CAKES | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,36.00
GRILLED TROUT | DINNER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,28.00
SAUTÉED BROCCOLINI - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
COLE SLAW - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
CREAMED SPINACH - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
CREAMY WHIPPED POTATOES - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
CRISPY BRUSSELS SPROUTS - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
FETTUCCINE ALFREDO - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
FRENCH FRIES - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
FRESH SAUTEED CORN - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
FRESH SAUTEED SPINACH - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
KALE & QUINOA SALAD - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
LOADED BAKED POTATO - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
STIR FRIED VEGETABLES - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
TWICE BAKED POTATOES - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
ONION RINGS - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
BUTTER CRAB - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,18.00
CALIFORNIA - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
DYNAMITE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
FIRECRACKER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,16.00
HOLLYWOOD - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,18.00
SPICY TUNA - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,14.00
CARROT CAKE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,10.00
CHOCOLATE CHIP COOKIE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,10.00
KEY LIME PIE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,10.00
WARM BREAD PUDDING - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,10.00
KID BURGER - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
KID CHICKEN TENDERS - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
KID CORN DOG - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
KID GRILLED CHICKEN - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
KID MAC AND CHEESE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
KID SALMON - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,8.00
ACQUA PANNA - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
COKE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,3.00
DIET COKE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,3.00
ICED TEA - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,3.00
SAN PELLEGRINO - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,5.00
SPRITE - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,3.00
PALM BEACH SALAD - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,24.00
FRENCH DIP - REGULAR,BRICKTOP'S,"CHOWNOW, FRONTENAC, MO",,20.00
