name,restaurant_name,identifier,calories,price_usd
BRUSCHETTA - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,8.00
CHIPS & SALSA - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,6.00
CHICKEN WINGS - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,10.00
ONION RINGS - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,8.00
COCONUT SHRIMP - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,11.00
JUMBO PRETZEL - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
FOUR CHEESE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,9.00
MEDITERRANEAN - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,11.00
CHICKEN BACON RANCH - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,11.00
SPICY PEPPERONI - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,12.00
HOUSE SALAD - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,8.00
CAESAR SALAD - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,8.00
GRILLED CHICKEN COBB - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,12.00
CALIFORNIA BURGER - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,9.00
MUSHROOM SWISS BURGER - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,10.00
BUFFALO CHICKEN SANDWICH - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,11.00
CAESAR SALAD WRAP - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,10.00
BLT&A - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,10.00
PUB HOAGIE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,11.00
SPAGHETTI & MEATBALLS - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,12.00
FISH & CHIPS - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,13.00
MACRO BOWL - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,13.00
CHICKEN TENDERS - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,10.00
STRAWBERRY LACE CHEESECAKE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
GRANDMA'S TRADITIONAL CARROT CAKE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
TURTLE CHEESECAKE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
SINFUL SEVEN CHOCOLATE CAKE - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
TIRAMISU - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,7.00
TOWERING CHOCOLATE CAKE FOR TWO - REGULAR,BRINDISI'S PUB,"CHOWNOW, CHANHASSEN, MN",,12.00
