name,restaurant_name,identifier,calories,price_usd
CURBSIDE PICKUP (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,0.00
FILET MIGNON - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,39.00
FILET OF SOLE PICCATA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,24.00
ARAGOSTA PORTOFINO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,35.00
FILETTO TOSCANO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,32.00
POLLO AL MATTONE  INCH CHICKEN UNDER THE BRICK INCH  - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,29.00
POLLO AL VINO BIANCO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,25.00
POLLO ALLA PARMIGGIANA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,26.00
SALMONE FRESCO DI SCOZIA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,28.00
 INCH OUR FAMOUS INCH  CON BRIO SALAD - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,9.00
INSALATA DI CESARE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,11.00
MOZZARELLA CAPRESE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,14.00
OUR SIGNATURE CRAB & LOBSTER BISQUE - CUP,BRIO TUSCANY GRILL,"DANA POINT, CA",,8.00
OUR SIGNATURE CRAB & LOBSTER BISQUE - BOWL,BRIO TUSCANY GRILL,"DANA POINT, CA",,14.00
ROASTED BEETROOT - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,15.00
SCOTTISH SALMONE SALAD - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,24.00
FETTUCCINE SCAMPI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,28.00
PAUL'S SPAGHETTI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,23.00
LASAGNA NONNA CIRA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,23.00
TORTELLINI AL FORMAGGIO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,21.00
CAPPELLINI CHECCHA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,18.00
CAROLUS PASTA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,26.00
"FETTUCCINE  VONGOLE, BIANCO OR ROSSO - REGULAR",BRIO TUSCANY GRILL,"DANA POINT, CA",,26.00
FETTUCCINE AL RAGU - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,22.00
FETTUCCINE CON CARNE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,28.00
PENNE DONATELLA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,24.00
PENNE GENOVESE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,19.00
SPAGHETTI FRUTTI DI MARE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,29.00
AHI TUNA CALIFORNIA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,15.00
BLACKENED AHI TUNA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,13.00
BRUSCHETTA AL POMODORO FRESCO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,11.00
BURRATA FRESCA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,15.00
CALAMARI FRA DIAVOLO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,16.00
CALAMARI FRITTI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,15.00
JOE'S GARLIC BREAD - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,7.00
OVEN BAKED BAQUETTE - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,6.00
POLPETTE AL FORNO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,12.00
SCAMPI POSITANO - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,16.00
TUNA ROLLATI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,15.00
FORESTIERA PIZZA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,20.00
MARGHERITA PIZZA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,18.00
PEPPERONI PIZZA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,19.00
SALSICCIA ITALIANA PIZZA - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,19.00
ROASTED GARLIC ROSEMARY POTATOES - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,9.00
SAUTEED BROCCOLI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,9.00
SIDE OF HOUSE LINGUINI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,9.00
STEAMED BROCCOLI - REGULAR,BRIO TUSCANY GRILL,"DANA POINT, CA",,9.00
