name,restaurant_name,identifier,calories,price_usd
CHEESE CALZONE - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,6.99
BREADSTICKS - FULL ORDER (8),BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,4.99
BREADSTICKS - HALF ORDER (4),BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,3.50
STUFFED STICKS - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,5.99
CHEESE BOSS BITES - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,4.99
EXTRA SAUCES - CUP,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,1.00
"10 INCH  1 TOPPING CHEESE PIZZA - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.95
"12 INCH  1 TOPPING CHEESE PIZZA - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,9.95
"14 INCH  1 TOPPING CHEESE PIZZA - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,11.95
"SUPREME - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,12.95
"MEATZZA PIZZA - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,12.95
"CHICKEN CLUB - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,12.95
"VEGETARIAN - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,12.95
"CHEESE BOSS PIZZA - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,10.95
"BBQ CHICKEN - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,9.95
"HAWAIIAN - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,9.95
"CHICKEN BACON & RANCH - 10""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,9.95
"SUPREME - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,14.95
"MEATZZA PIZZA - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,14.95
"CHICKEN CLUB - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,14.95
"VEGETARIAN - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,14.95
"CHEESE BOSS PIZZA - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,12.95
"BBQ CHICKEN - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,11.95
"HAWAIIAN - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,11.95
"CHICKEN BACON & RANCH - 12""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,11.95
"SUPREME - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,16.95
"MEATZZA PIZZA - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,16.95
"CHICKEN CLUB - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,16.95
"VEGETARIAN - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,16.95
"CHEESE BOSS PIZZA - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,14.95
"BBQ CHICKEN - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,13.95
"HAWAIIAN - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,13.95
"CHICKEN BACON & RANCH - 14""",BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,13.95
2 LITER BOTTLE - 2 LITER,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,2.59
TEXAS BBQ GRINDER - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.99
CHICKEN PARMESAN GRINDER - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.99
BBQ CHICKEN GRINDER - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.99
CHICKEN BACON & RANCH GRINDER - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.99
SAUSAGE MARINARA GRINDER - REGULAR,BROTHERS PIZZA COMPANY,"CHOWNOW, CRAWFORDSVILLE, IN",,7.99
