name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,0.00
MAC AND CHEESE BALLS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
SHHH PUPPIES - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
PORK BELLY SLIDERS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,8.00
DUBBA FRIED WINGS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,9.00
HOUSE SALAD - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
WEDGE SALAD - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,9.00
DA UDDER BIRD SAMMIE - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,10.00
OG PIGGY SAMMIE - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,11.00
BUCKBOARD STEAK BURGER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,11.00
THE TIP SAMMIE - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,13.00
THE BEYOND BURGER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,14.00
CHICKEN PLATTER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,15.00
PORK PLATTER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,16.00
SAUSAGE PLATTER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,17.00
TRI TIP PLATTER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,19.00
CARNE TRIO - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,22.00
BEST OF BUCK SAMPLER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,26.00
POTATO SALAD - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,5.00
BUCKBOARD SLAW - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,5.00
BBQ BAKED BEANS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,5.00
CORNBREAD WITH MAPLE BUTTER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,5.00
MEXICAN CORN - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,5.00
MAC & CHEESE - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,6.00
ONION RINGS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,6.00
WEDGE FRIES - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,6.00
SWEET POTATO WEDGE FRIES - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,6.00
BUCKBOARD BREAD PUDDING - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
PEACH COBBLER - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
JULIAN ORIGINAL APPLE PIE - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
MINI CORN MUTTS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
CLUCKER STRIPS - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
LITTLE OG PIGGY - REGULAR,BUCKBOARDS BARBEQUE AND BREW,"EL CAJON, CA",,7.00
