name,restaurant_name,identifier,calories,price_usd
"HAM, EGG & CHEESE SANDWICH - REGULAR",BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,5.99
"BACON, EGG & CHEESE SANDWICH - REGULAR",BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,5.99
2 EGGS & 1 SIDE - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,4.99
2 EGGS & 2 SIDES - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,5.99
2 EGGS & 3 SIDES - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,6.99
HAM & CHEESE OMELETTE WITH TOAST - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,6.99
BURRITO WITH SCRAMBLED EGG & CHEESE - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,5.99
FRENCH TOAST PLATTER - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,5.99
OMELETTE SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,6.99
TOASTED BREAD WITH BUTTER - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,1.50
TOASTED BREAD WITH CHEESE - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,2.50
AVENA - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,2.99
FARINA - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,2.99
HAM & CHEESE SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,4.50
TURKEY SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,7.99
ALBACORE TUNA SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,8.99
LATIN CHICKEN BREAST SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,9.99
CUBAN SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,8.99
MEDIA NOCHE SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,7.99
TRIPLETA SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,8.99
BEEFSTEAK SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,9.99
HAM & SALAMI SANDWICH - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,9.99
BORICUA WRAP - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,8.99
BORICUA BURGER - REGULAR,BUEN CAFE LATIN FOOD,"DAVENPORT, FL",,8.99
