name,restaurant_name,identifier,calories,price_usd
THE BOSS BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,8.80
THE WESTERN BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,8.80
THE SPICY JOHNNY BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,8.20
THE DOUBLE D BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,10.20
THE NEW FASHION BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,7.00
THE GUIDO BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,11.60
THE POUNDER BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,12.10
THE JUNIOR BURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,5.10
THE JUNIOR BURGER - SUB GARDEN PATTY$,BURGER & CREAM,"GRASS VALLEY, CA",,7.00
THE FREE BIRD SANDWICH - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,8.50
HOT DOG - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.10
BLT SANDWICH - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.30
PASTRAMI SANDWICH - HALF SANDWICH,BURGER & CREAM,"GRASS VALLEY, CA",,6.70
PASTRAMI SANDWICH - FULL SANDWICH,BURGER & CREAM,"GRASS VALLEY, CA",,11.10
THE CRISPY BIRD SANDWICH - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.20
FISH SANDWICH - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,8.80
BEEF TACO - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,2.70
CHICKEN TACO - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,3.60
CORN DOG - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,2.50
BURRITO - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,2.70
CHICKEN STRIPS - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,7.10
CHICKEN STRIPS (4) - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,7.10
FISH & CHIPS - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,10.00
KID'S HAMBURGER - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.70
KID'S GRILLED CHEESE - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.70
KID'S CORN DOG - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.70
KID'S SHAKE - 12 OZ,BURGER & CREAM,"GRASS VALLEY, CA",,4.00
KID'S FREEZE - 12 OZ,BURGER & CREAM,"GRASS VALLEY, CA",,3.50
KID'S FLOAT - 12 OZ,BURGER & CREAM,"GRASS VALLEY, CA",,3.50
KID'S CHICKEN STRIPS (2) - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,6.70
FRIES- SMALL - SMALL,BURGER & CREAM,"GRASS VALLEY, CA",,2.70
FRIES- LARGE - LARGE,BURGER & CREAM,"GRASS VALLEY, CA",,3.20
FRIES- FAMILY - FAMILY,BURGER & CREAM,"GRASS VALLEY, CA",,4.70
ONION RINGS- REGULAR - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,3.90
ONION RINGS- FAMILY - FAMILY,BURGER & CREAM,"GRASS VALLEY, CA",,7.00
THE HALFSIE - FAMILY,BURGER & CREAM,"GRASS VALLEY, CA",,6.00
CHEESE CURDS - REGULAR,BURGER & CREAM,"GRASS VALLEY, CA",,5.10
WAFFLE FRIES- FAMILY - FAMILY,BURGER & CREAM,"GRASS VALLEY, CA",,5.60
