name,restaurant_name,identifier,calories,price_usd
BROWN BOX PIZZA & APP COMBO - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,20.00
CREAM OF TOMATO BASIL SOUP - CUP,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,3.95
CREAM OF TOMATO BASIL SOUP - BOWL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,5.95
ROASTED BRUSSEL SPROUTS - SPECIALS,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,7.95
BAKED SWORDFISH - SPECIAL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,24.95
SWORDFISH PUTTANESCA - SPECIAL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,24.95
SPECIAL ITALIAN COMBO - SPECIAL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,20.95
FRESH FRIED FILET OF SOLE - SPECIAL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,18.95
REESES PEANUT BUTTER PIE - SPECIAL,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,6.95
CHOCOLATE FUDGE CAKE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,5.50
STRAWBERRY SHORTCAKE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,5.95
ITALIAN MAI TAI - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
TRADITIONAL RED SANGRIA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
SPARKLING PINK SANGRIA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
WATERMELON SANGRIA (SEASONAL) - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
MOJITOS - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
ESPRESSO MARTINI - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
THE DON MARGARITA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
TROPICAL TITO'S - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,13.00
CHICKEN PARMIGIANA WITH PASTA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,18.95
EGGPLANT PARMIGIANA WITH PASTA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,17.95
VEAL CUTLET PARMIGIANA WITH PASTA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,20.95
ITALIAN COMBO WITH PASTA - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TOASTED RAVIOLI WITH MEAT SAUCE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,15.95
BAKED LASAGNA WITH MEAT SAUCE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,16.95
CHEESE RAVIOLI - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,14.95
BAKED STUFFED SHELLS WITH TOMATO SAUCE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,15.95
PASTA WITH SAUCE - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,12.95
CHICKEN SUPREME - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,18.95
GRILLED BOURBON TURKEY TIPS - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
MARINATED SIRLOIN TIPS - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,24.95
SURF & TURF - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,26.95
TRIO 1 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TRIO 2 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TRIO 3 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TRIO 4 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TRIO 5 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
TRIO 6 - REGULAR,BURLINGTON CHATEAU,"CHOWNOW, BURLINGTON, MA",,19.95
