name,restaurant_name,identifier,calories,price_usd
6 PIECE WING COMBO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,9.29
8 PIECE WING COMBO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,10.79
10 PIECE WING COMBO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,11.99
3 PIECE CHICKEN STRIP COMBO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,7.99
5 PIECE CHICKEN STRIP COMBO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,9.99
20 PACK - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,22.49
40 PACK - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,43.49
60 PACK - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,63.49
80 PACK - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,77.99
100 PACK - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,97.49
10 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,8.99
20 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,17.49
40 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,34.49
60 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,49.99
100 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,79.99
CHICKEN STRIPS - 3 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.99
CHICKEN STRIPS - 5 PIECES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,6.99
KID'S CHICKEN TENDERS (2 PCS) + 1 DIP - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.95
KID'S MOZZARELLA STICKS (3 PCS) + 1 DIP - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.95
KID'S BONELESS WINGS (4 PCS) + 1 DIP - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.95
GARLIC NOODLES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,3.79
GARLIC NOODLES - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,5.49
MAC N CHEESE - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,3.79
MAC N CHEESE - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,5.49
STUFFED JALAPEÑOS - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,3.99
MOZZARELLA STICKS - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,3.99
ZUCCHINI SLICES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,3.49
SIDE OF RICE - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,1.69
SIDE OF RICE - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,2.49
HAWAIIAN ROLLS - 2 ROLLS,CAFE EURO,"CHOWNOW, JESUP, GA",,1.00
HAWAIIAN ROLLS - 4 ROLLS,CAFE EURO,"CHOWNOW, JESUP, GA",,1.99
HAWAIIAN ROLLS - 8 ROLLS,CAFE EURO,"CHOWNOW, JESUP, GA",,3.59
TATER TOTS - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,2.99
VEGGIE STICKS - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,1.39
ORIGINAL CAESAR - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.95
ASIAN CHICKEN SALAD - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,7.95
THAI CHICKEN SALAD - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,7.95
HOUSE SALAD - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.95
PLAIN FRIES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,1.99
PLAIN FRIES - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,2.89
SEASONED FRIES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,2.49
SEASONED FRIES - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,3.49
GARLIC FRIES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.49
GARLIC FRIES - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,5.95
FIRE FRIES - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,4.49
FIRE FRIES - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,5.95
RANCH - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
BLUE CHEESE - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
BBQ - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
BUFFALO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
HONEY MUSTARD - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
MARINARA - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
SRIRACHA MAYO - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
SWEET CHILI - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,0.59
SOFT DRINKS - SMALL,CAFE EURO,"CHOWNOW, JESUP, GA",,1.99
SOFT DRINKS - MEDIUM,CAFE EURO,"CHOWNOW, JESUP, GA",,2.35
SOFT DRINKS - LARGE,CAFE EURO,"CHOWNOW, JESUP, GA",,2.59
BOTTLED WATER - REGULAR,CAFE EURO,"CHOWNOW, JESUP, GA",,1.50
