name,restaurant_name,identifier,calories,price_usd
JERK CHICKEN TACOS - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,16.00
SWAMP FRIES - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,17.00
CHICKEN BOUDIN - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,12.00
TLH SWAMP BAKED POTATO - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,24.00
TURKEY STUFFED BAKED POTATO - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,19.00
PASTA YAYA - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,24.00
CAJUN BOWL - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,29.00
FRIED FISH BASKET - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,18.00
WINGS - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,16.00
FAMOUS TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,14.00
FLAVORED TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,16.00
STUFFED TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,24.00
ALFREDO SHRIMP STUFFED TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,32.00
CAJUN CRAWFISH MAC & CHEESE - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,28.00
HENNESSY GLAZED TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,19.00
CIROC MANGO HABANERO GLAZED TURKEY LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,19.00
FLORENTINE LEG - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,30.00
RED BEANS AND RICE - SMALL,CAFE RAIK,"CHOWNOW, DULUTH, GA",,7.95
RED BEANS AND RICE - LARGE,CAFE RAIK,"CHOWNOW, DULUTH, GA",,9.95
COWBOY BEANS - SMALL,CAFE RAIK,"CHOWNOW, DULUTH, GA",,7.95
COWBOY BEANS - LARGE,CAFE RAIK,"CHOWNOW, DULUTH, GA",,9.95
CREOLE CORN - SMALL,CAFE RAIK,"CHOWNOW, DULUTH, GA",,6.00
CREOLE CORN - LARGE,CAFE RAIK,"CHOWNOW, DULUTH, GA",,8.00
SAUTEED SPINACH - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,7.95
WAFFLE FRIES - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,6.00
TLH SPINACH - REGULAR,CAFE RAIK,"CHOWNOW, DULUTH, GA",,9.95
