name,restaurant_name,identifier,calories,price_usd
CAPRESE - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,13.95
SALMON OR BEEF CARPACCIO - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,16.95
COLD ANTIPASTO - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,19.95
MEATBALLS - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,13.95
FRIED CALAMARI - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,14.95
STEAMED MUSSELS OR CLAMS - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,14.95
EGGPLANT ROLLATINI - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,14.95
HOUSE SALAD - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,8.95
CAESAR SALAD - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,8.95
ARUGULA SALAD - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,8.95
PASTA FAGIOLI - REGULAR,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,6.95
CHICKEN WINGS - 8 PIECES,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,12.95
CHICKEN WINGS - 16 PIECES,CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,22.95
"MARGHERITA PIZZA - 10"" SMALL",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,12.95
"MARGHERITA PIZZA - 16"" LARGE",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,16.95
"DI PARMA PIZZA - 10"" SMALL",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,14.95
"DI PARMA PIZZA - 16"" LARGE",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,20.95
"CHICKEN PIZZA - 10"" SMALL",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,14.95
"CHICKEN PIZZA - 16"" LARGE",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,20.95
"FUNGHI MISTI PIZZA - 10"" SMALL",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,17.95
"FUNGHI MISTI PIZZA - 16"" LARGE",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,22.95
"QUATTRO FORMAGGI PIZZA - 10"" SMALL",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,15.95
"QUATTRO FORMAGGI PIZZA - 16"" LARGE",CAFE VICO - OCEAN,"CHOWNOW, FORT LAUDERDALE, FL",,20.95
