name,restaurant_name,identifier,calories,price_usd
12 INCH  BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,11.60
14 INCH  BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,15.11
16 INCH  BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,18.39
30 INCH  GIANT BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,47.29
10 INCH  BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,9.15
20 INCH  BUILD YOUR OWN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,23.26
GLUTEN FREE 9 INCH  BUILD YOUR OWN - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,7.15
12 INCH  THE MANHATTAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE BROOKLYN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE BRONX PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE NEW YORK CITY PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE BBQ PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE QUEEN'S PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
12 INCH  THE SPANISH HARLEM PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,17.07
14 INCH  THE MANHATTAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,22.69
14 INCH  THE BROOKLYN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,22.69
14 INCH  THE NEW YORK CITY PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,22.69
14 INCH  THE BBQ PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,22.69
14 INCH  THE SPANISH HARLEM PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,22.69
16 INCH  THE BROOKLYN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE MANHATTAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE BRONX PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE NEW YORK CITY PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE BBQ PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE QUEEN'S PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
16 INCH  THE SPANISH HARLEM PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,27.05
30 INCH  GIANT THE BROOKLYN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE BRONX PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE MANHATTAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE NEW YORK CITY PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE BBQ PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE QUEEN'S PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
30 INCH  GIANT THE SPANISH HARLEM PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,59.21
BUILD YOUR OWN SICILIAN CHEESE PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,18.93
THE BRONX SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
THE QUEENS SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
THE BROOKLYN SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
THE MANHATTAN SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
THE NEW YORK CITY SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
THE SPANISH HARLEM SICILIAN PIZZA - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,28.64
PIZZA SLICE - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,5.19
BUILD YOUR OWN PERSONAL CALZONE - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,9.24
BUILD YOUR OWN MEDIUM CALZONE - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,13.08
BUILD YOUR OWN LARGE CALZONE - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,16.35
THE BRONX CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE QUEEN'S CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE BROOKLYN CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE MANHATTAN CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE NEW YORK CITY CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE SPANISH HARLEM CALZONE: SMALL - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,12.23
THE BRONX CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE QUEEN'S CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE BROOKLYN CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE MANHATTAN CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE NEW YORK CITY CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE SPANISH HARLEM CALZONE: MEDIUM - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,20.65
THE BRONX CALZONE: LARGE - REGULAR,CATALDO'S PIZZERIA,"BAKERSFIELD, CA",,25.01
