name,restaurant_name,identifier,calories,price_usd
FRIED GREEN TOMATOES - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,11.00
GARLIC & WHITE WINE MUSSELS - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,13.00
PIEROGIS - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,12.00
EDAMAME DUMPLINGS - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,11.00
LOBSTER EGG ROLLS - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,14.00
SUNBURST TOMATO SOUP - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
NEW ENGLAND CLAM CHOWDER - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
CUCUMBER & WATERMELON SALAD - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,11.00
HOUSE SALAD - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
CAESAR SALAD - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,11.00
TOMATO & BURRATA - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,13.00
BISTRO BURGER - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,14.00
BRISKET FRENCH DIP - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,14.00
BISTRO CLUB - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,13.00
CRANBERRY WALNUT CHICKEN SALAD SANDWICH - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,12.00
BEYOND BEEF BURGER - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,14.00
PULLED PORK - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,13.00
GRILLED SWORDFISH - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,28.00
BRISKET BOURGOGNE - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,28.00
LOBSTER RAVIOLI - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,25.00
 INCH PETITE FILET INCH  - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,27.00
BLACKENED SALMON - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,27.00
DUCK CONFIT PASTA - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,27.00
WILD MUSHROOM RISOTTO - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,26.00
RACK OF LAMB - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,28.00
POACHED PEACH - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
BING CHERRY CHEESE CAKE - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
STRAWBERRY RHUBARB BREAD PUDDING - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
SUMMER BERRY TART - REGULAR,CENTER STAGE BISTRO TO GO,"CHOWNOW, WORCESTER, MA",,9.00
