name,restaurant_name,identifier,calories,price_usd
FALAFEL FEAST - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,35.99
FAMILY FEAST - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,44.99
GYROS FEAST - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,35.99
SHAWARMA FEAST - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,38.99
ULTRA FAMILY FEAST - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,54.99
HUMMUS - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
HUMMUS - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
TZATZIKI - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
TZATZIKI - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
YOGURT WITH SHALLOTS - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
YOGURT WITH SHALLOTS - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
PINTO BEANS - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
PINTO BEANS - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
MIXED PICKLES - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
MIXED PICKLES - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
IKRA - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
IKRA - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
BABA GHANOUSH - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,3.99
BABA GHANOUSH - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,5.99
SARMA GRAPE LEAVES - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.00
PINTO BEAN SOUP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.50
LENTIL SOUP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.50
VEGGIE SOUP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.50
CHICKEN SOUP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.50
ASHE RESHTE SOUP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.50
TABOULI SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,4.99
TABOULI SALAD - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.99
SALAD SHIRAZI - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,4.99
SALAD SHIRAZI - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.99
GREEK SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,4.99
GREEK SALAD - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.99
QUINOA SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,4.99
QUINOA SALAD - LARGE,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,6.99
GRILLED CHICKEN SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,12.99
SALMON SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,13.99
FALAFEL SALAD - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,11.99
CHEESESTEAK ROLL - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,10.99
GERMAN SAUSAGE ROLL - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,10.99
BEEF CUTLET WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
BEEF LULEH KEBAB WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
MINI BEEF KEBABS - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,11.99
CHICKEN LULEH KEBAB WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
GRILLED CHICKEN WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
FALAFEL WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
GYROS WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,7.99
CHICKEN SHAWARMA WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,8.99
BEEF SHAWARMA WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,9.99
BEEF TONGUE WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,11.99
BRAIN WRAP - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,11.99
BEEF LULEH PLATE - REGULAR,CENTRAL PIZZA,"CHOWNOW, SEATTLE, WA",,11.99
