name,restaurant_name,identifier,calories,price_usd
SATURDAY SPECIAL - REGULAR,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,23.95
"12 INCH  MEDIUM CHEESE PIE - 12"" MEDIUM",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,11.95
"16 INCH  LARGE CHEESE PIE - 16"" LARGE",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,13.95
SICILIAN PIE - SICILIAN,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,17.95
10 INCH  GLUTEN FREE PIE - REGULAR,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,10.95
"BUFF DADDY - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"BUFF DADDY - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"COZMO KRAMER - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"COZMO KRAMER - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,23.95
"ELLIS ISLAND - MARGHERITA - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"ELLIS ISLAND - MARGHERITA - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"EMPIRE STATE - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"EMPIRE STATE - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"GARDEN STATE - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"GARDEN STATE - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
LITTLE ITALY - MEDIUM,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"LITTLE ITALY - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"MIKE PIAZZA (HALL OF FAME) - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"MIKE PIAZZA (HALL OF FAME) - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"SINATRA WAY - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"SINATRA WAY - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"SOPRANOS - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"SOPRANOS - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"THE ARTHUR AVE. - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"THE ARTHUR AVE. - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"THE HENRY HILL - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"THE HENRY HILL - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"THE NOTORIOUS P.I.E. - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"THE NOTORIOUS P.I.E. - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"THE NAKED COWBOY - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"THE NAKED COWBOY - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"CANAL ST. EXPRESS - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"CANAL ST. EXPRESS - LARGE ""16",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"VIN DIESEL - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"VIN DIESEL - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
"ELEKTRA - MEDIUM 12""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,18.95
"ELEKTRA - LARGE 16""",CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,20.95
1 TOPPING PREMIUM  SLICE - REGULAR,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,3.75
1 TOPPING NY SLICE - REGULAR,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,3.50
2 TOPPING NY SLICE - REGULAR,CERNOS BAR AND GRILL,"CHOWNOW, KEWANEE, IL",,4.00
