name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,CFCF COFFEE,"GREENWICH, CT",,0.00
DECAF CARUSO ESPRESSO BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,18.00
DECAF SINGLE ORIGIN: ROYAL COLOMBIAN - REGULAR,CFCF COFFEE,"GREENWICH, CT",,17.00
MORNING TONE BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,17.50
OPERA ESPRESSO BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,16.50
ORGANIC ORCHESTRA ESPRESSO BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,20.00
ORGANIC SINGLE ORIGIN: NICARAGUA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,18.00
ORGANIC SINGLE ORIGIN: SUMATRA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,19.00
SINGLE ORIGIN: BRAZIL - REGULAR,CFCF COFFEE,"GREENWICH, CT",,16.50
SINGLE ORIGIN: COLOMBIA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,17.00
SINGLE ORIGIN: COSTA RICA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,18.00
SINGLE ORIGIN: ETHIOPIA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,19.00
SINGLE ORIGIN: GUATEMALA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,18.00
SINGLE ORIGIN: KENYA AA - REGULAR,CFCF COFFEE,"GREENWICH, CT",,19.50
SUPER BAR HOUSE BREW BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,16.50
VENICE CLUB ESPRESSO BLEND - REGULAR,CFCF COFFEE,"GREENWICH, CT",,17.00
QUINOA SALAD - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.45
MEDITERRANEO SALAD - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.45
MIXED GREENS SALAD - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.45
GOLDEN BEETS SALAD - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.45
ORGANIC EGG SALAD SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,8.65
CAPRESE SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.45
CHICKEN SALAD SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.85
HAM & SWISS SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.25
AVOCADO TOAST - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.65
THE MEDITERRANEAN SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.65
PROSCIUTTO DELUXE SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,10.95
TUNA SPECIAL SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.95
TURKEY CLASSIC SANDWICH - REGULAR,CFCF COFFEE,"GREENWICH, CT",,9.95
HOT TEA - SMALL,CFCF COFFEE,"GREENWICH, CT",,2.85
HOT TEA - MEDIUM,CFCF COFFEE,"GREENWICH, CT",,3.15
HOT TEA - LARGE,CFCF COFFEE,"GREENWICH, CT",,3.45
LOOSE LEAF TEA - SMALL,CFCF COFFEE,"GREENWICH, CT",,3.05
LOOSE LEAF TEA - MEDIUM,CFCF COFFEE,"GREENWICH, CT",,3.35
LOOSE LEAF TEA - LARGE,CFCF COFFEE,"GREENWICH, CT",,3.65
ICED TEA - SMALL,CFCF COFFEE,"GREENWICH, CT",,2.85
ICED TEA - MEDIUM,CFCF COFFEE,"GREENWICH, CT",,3.15
ICED TEA - LARGE,CFCF COFFEE,"GREENWICH, CT",,3.45
GINGER TONIC TEA - SMALL,CFCF COFFEE,"GREENWICH, CT",,3.45
GINGER TONIC TEA - MEDIUM,CFCF COFFEE,"GREENWICH, CT",,3.95
GINGER TONIC TEA - LARGE,CFCF COFFEE,"GREENWICH, CT",,4.45
ICED AMERICANO - SMALL,CFCF COFFEE,"GREENWICH, CT",,2.95
ICED AMERICANO - MEDIUM,CFCF COFFEE,"GREENWICH, CT",,3.45
ICED AMERICANO - LARGE,CFCF COFFEE,"GREENWICH, CT",,3.95
ICED CAPPUCCINO - SMALL,CFCF COFFEE,"GREENWICH, CT",,3.95
