name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,0.00
BIRRIA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.25
CARNE ASADA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.00
CARNITAS TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
CHICKEN TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
ENSENADA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.75
FISH TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
LENGUA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.75
CABEZA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.75
CHORIZO TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
VEGGIE TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
PAPA TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
SPINACH TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,2.50
ENSENADA SHRIMP TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.75
QUESATACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,4.50
BUTTER LETTUCE TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.25
BUCHE TACO - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,3.25
BIRRIA MULITA - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,4.25
CARNE ASADA MULITA - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,4.75
CARNITAS MULITA - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,4.25
CHICKEN MULITA - REGULAR,CHANDO'S TACOS,"ROSEVILLE, CA",,4.25
